ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,experiment_number,file,protein_days_thawed,plate_type
,2.31385845694056e-06,0.0034285517617507135,-0.08571219846736411,1,0,0.028,0.8356874999999968,5.253424174855063,0.010013383900702956,-0.0007947580652151538,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
Arachadionic acid,6.080453104361056,0.0029655419891633653,-0.8354363026010077,2,0,0.03400000000000001,1.4272500000000046,3.027009819829684,0.008366600265340758,-0.0016399193552894072,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
Arachadionic acid,28.55984680491436,0.044422942450864825,-2.5045054487786538,3,0,0.020000000000000007,-0.7991874999999997,-5.072042289300447,0.0105618924170137,0.010463004031884111,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
Lauric acid,33.18670772202167,0.04106333312183287,-2.3555722430285018,4,0,0.024,-0.5525625000000012,-8.939734334131918,0.010308630226313155,0.010472681451655261,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
Lauric acid,90.25412891034267,0.016748131438539603,-2.534186893188397,5,0,0.037000000000000005,0.5958750000000037,6.631964835145156,0.011093756287724577,0.002743296369892104,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
Palmitic acid,81.69676572121396,0.006603743235317937,-2.4579920846875534,6,0,0.037000000000000005,-0.711250000000001,-5.654777043206777,0.010211163358935021,0.004469052418679479,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
Palmitic acid,45.82145443619334,0.008189029695495502,-2.618572359152608,7,0,0.033999999999999996,0.2754374999999955,11.886985974600208,0.007827378689117906,0.00010504031981052386,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
4-PhenylImidazole,5.668106271698705,0.0013774025148111026,-0.49910440506197795,8,0,0.032,-0.12256250000000035,-16.522673035259285,0.009148575220843329,-0.0019090221819224192,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
4-PhenylImidazole,6.766675987391474e-05,0.0025714205997556965,-1.0219698641125334,9,0,0.033,0.9898125000000025,2.4793525462266586,0.01051189802081432,-0.0003639616932962414,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
Arachadionic acid,1.9402780848827832e-06,0.002142851556434972,-0.5238075010984629,10,0,0.03299999999999999,-0.08993749999999412,-34.731190403185614,0.010875923606099588,-0.0009399697563268887,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
Arachadionic acid,37.85632129332053,0.036552821010177226,-2.45597870485355,11,0,0.03799999999999999,1.721874999999991,2.258843938132556,0.00937987968244491,0.003823084676605519,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
Lauric acid,30.008400511019165,0.036610573004931965,-2.299968909291011,12,0,0.036,1.4497500000000014,2.038852839582227,0.00720986427452992,0.0038308467723169636,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
Lauric acid,499.99999999727487,0.019353143934031834,-1.9442253267422056,13,0,0.039999999999999994,2.9923750000000036,0.7949940214629868,0.010253919111386494,-0.0018337701635961264,13,20191008_test/20191008/20191008_.CSV,0,Thermo Polystyrene (262160)
