,Triton  / %,DMSO /%,Arginine / mM,Glucose / mM,KPi / mM,KCl / mM,NaCl / mM,NH4 / mM,BSA /mg/ml,Date,Time,Signal to Noise
0,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0982905982905984
1,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.164835164835165
2,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0336134453781514
3,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0419161676646704
4,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,0.9797160243407708
5,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0174563591022443
6,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.1249999999999998
7,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0614886731391586
8,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.1964285714285714
9,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0596491228070175
10,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0687022900763359
11,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.3097345132743363
12,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,0.9444444444444444
13,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,0.9000000000000006
14,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.1590909090909092
15,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.1209302325581394
16,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0982905982905984
17,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.164835164835165
18,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0336134453781514
19,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0419161676646704
20,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,0.9797160243407708
21,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0174563591022443
22,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.1249999999999998
23,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0614886731391586
24,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.1964285714285714
25,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0596491228070175
26,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.0687022900763359
27,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,1.3097345132743363
28,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,0.9444444444444444
29,0.0,0,0,0,0,0,0,0,0.1,09/11/2019,16:21:12,0.9000000000000006
