experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,Triton  / %,DMSO /%,Arginine / mM,Glucose / mM,KPi / mM,KCl / mM,NaCl / mM,NH4 / mM,BSA /mg/ml,controls_ok,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,well_volume,dispense_bulk,dispense_ligands,plate_type
17,,,,,,1.082,361.2646562500001,0.2179296239387866,0.2762915127179986,-0.06120796371650612,0.0,0,0,0,0,0,0,0,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.657,367.51831250000015,0.22761777509024034,0.22175789162958778,0.07501678427572495,0.0,0,0,150,0,150,150,150,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.4760000000000001,311.5834062499999,0.16102551480261978,0.12573967817147721,0.001783492943516096,0.0,0,150,0,150,150,150,0,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.7419999999999999,267.76462499999997,0.23182899641662214,0.1925020779108631,0.054620463707591535,0.0,0,150,150,150,0,0,150,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.402,265.41406249999983,0.16209806620863226,0.10696991399454335,0.04651028225878863,0.0,4,0,0,150,150,0,150,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.41600000000000004,270.36262499999987,0.17127461549269568,0.1156609808881111,0.05247893145164038,0.0,4,0,150,150,0,150,0,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.5249999999999999,272.2979999999998,0.19786223076792142,0.1451734020634175,0.06090851814896111,0.0,4,150,0,0,0,150,150,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.308,258.59715624999967,0.1295581534798945,0.08643068031665609,0.032415927418807305,0.0,4,150,150,0,150,0,0,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.279,252.65821874999972,0.11824461716742574,0.07295315277628514,0.028799647176357128,0.01,0,0,0,150,0,150,150,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.153,241.60918749999954,0.05981962603036177,0.030388525795108912,0.015732484882547554,0.01,0,0,150,150,150,0,0,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.21799999999999997,243.21487499999967,0.09065198357820467,0.05142097496806791,0.02206781754241718,0.01,0,150,0,0,150,0,150,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.19799999999999998,244.13965624999977,0.0749017742639089,0.04245306231592722,0.02869160786274289,0.01,0,150,150,0,0,150,0,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.20099999999999998,243.40440624999968,0.07129000507908388,0.03772526783646914,0.02118412298390915,0.01,4,0,0,0,150,150,0,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.182,242.38703124999978,0.061308121324758186,0.03234784897536981,0.005032736893628117,0.01,4,0,150,0,0,0,150,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.11599999999999999,236.35974999999956,0.02593632967123257,0.012484657250668383,0.011978629034946477,0.01,4,150,0,150,0,0,0,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.11499999999999999,234.96437499999973,0.02328758562925869,0.009577751997902915,0.011094480845386485,0.01,4,150,150,150,150,150,150,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.7319999999999999,333.7439687499999,0.17984614437812838,0.1820608758080659,-0.018382963711867036,0.0,0,0,0,0,0,0,0,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.5399999999999999,336.0189062499999,0.18414658656444108,0.15764427254634614,0.05037101814304873,0.0,0,0,150,0,150,150,150,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.39299999999999996,295.5843749999999,0.12793133544692847,0.09782220266040494,-0.008277671371570205,0.0,0,150,0,150,150,150,0,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.509,263.39278124999964,0.17810015886266206,0.12477065627248528,0.03953508064591841,0.0,0,150,150,150,0,0,150,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.321,262.10778124999945,0.11867517591616142,0.08018787834413212,0.03706048386980673,0.0,4,0,0,150,150,0,150,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.32399999999999995,265.3469374999996,0.12349508741551035,0.08592048164824652,0.04048737399210692,0.0,4,0,150,150,0,150,0,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.395,265.60474999999974,0.15093440932133698,0.10463261123250883,0.04532555443245424,0.0,4,150,0,0,0,150,150,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.24700000000000003,255.98071874999977,0.09688849136202425,0.06399322880847108,0.02430063004288458,0.0,4,150,150,0,150,0,0,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.22800000000000004,251.30359374999972,0.08765457309626105,0.0538819697734471,0.022130569554200064,0.01,0,0,0,150,0,150,150,0.0,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.134,242.01406249999957,0.04591277377813624,0.024026287686615258,0.011761315525306557,0.01,0,0,150,150,150,0,0,0.1,False,0,2,3700,30,Manual,Serial dilution,?
17,,,,,,0.17700000000000002,242.00262499999957,0.06780722169417688,0.037967914085448515,0.015492313506919505,0.01,0,150,0,0,150,0,150,0.1,False,0,2,3700,30,Manual,Serial dilution,?
