baseline,,b0,,p0,,b1,,p1,,b2,,p2,,b3,,p3,,b4,,p4,,b5,,p5,,b6,,p6,,b7,,b7,,p7,,b8,,p8,,b9,,p9,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0142822,-0.0008962305146,800.0142822,-0.002656868659,800.0142822,0.0122180609,800.0142822,-0.00165989378,800.0142822,0.01390811801,800.0142822,-0.001533517963,800.0142822,0.01407875866,800.0142822,-0.00150612311,800.0142822,0.006921399385,800.0142822,-0.001514687436,800.0142822,0.00872365199,800.0142822,-0.0002967588662,800.0142822,0.01136236638,800.0142822,-9.266188135E-005,800.0142822,0.0113487877,800.0142822,0.02192217857,800.0142822,0.0008170562214,800.0142822,0.008868039586,800.0142822,-0.002053280128,800.0142822,0.008558349684,800.0142822,-0.001676242566,800.0142822,0.01066336408,
799.0158081,7.934773748E-005,799.0158081,0.0005346930702,799.0158081,0.013939525,799.0158081,-0.0004457863688,799.0158081,0.01475966256,799.0158081,-0.0002513835207,799.0158081,0.01523013599,799.0158081,0.0004781439784,799.0158081,0.009629020467,799.0158081,0.0004164977872,799.0158081,0.009153654799,799.0158081,0.001474687713,799.0158081,0.0133677125,799.0158081,0.001082164003,799.0158081,0.01191488653,799.0158081,0.02247830294,799.0158081,0.0005100718117,799.0158081,0.01201283466,799.0158081,0.0006333217025,799.0158081,0.009828940034,799.0158081,0.001500584534,799.0158081,0.0130402064,
798.0168457,-0.0005050520995,798.0168457,0.00010311605,798.0168457,0.01206167042,798.0168457,0.000281549379,798.0168457,0.0145187825,798.0168457,0.001283950405,798.0168457,0.01597243734,798.0168457,0.0004945999826,798.0168457,0.009736645967,798.0168457,-0.00030767516,798.0168457,0.01075346675,798.0168457,0.001588988351,798.0168457,0.01315775234,798.0168457,1.49882344E-005,798.0168457,0.01211205497,798.0168457,0.02242024057,798.0168457,0.002836795058,798.0168457,0.0131584201,798.0168457,0.0007523539243,798.0168457,0.01025333256,798.0168457,0.000345818873,798.0168457,0.01178331394,
796.9830322,-0.0006127026281,796.9830322,0.001397292013,796.9830322,0.01525061857,796.9830322,0.001479882514,796.9830322,0.01449812017,796.9830322,0.001932019135,796.9830322,0.01570133306,796.9830322,0.002024827991,796.9830322,0.01054219436,796.9830322,0.0007379625458,796.9830322,0.009861139581,796.9830322,0.002619415289,796.9830322,0.01443851925,796.9830322,0.001604447258,796.9830322,0.01219348796,796.9830322,0.02404490113,796.9830322,0.003225718858,796.9830322,0.01205278095,796.9830322,0.0004989278968,796.9830322,0.01034870651,796.9830322,0.001337384805,796.9830322,0.01319038589,
795.9832764,0.0001980987145,795.9832764,0.001437104889,795.9832764,0.0133339176,795.9832764,0.0008235399728,795.9832764,0.01697967388,795.9832764,0.0009430394275,795.9832764,0.01809446141,795.9832764,0.002229264705,795.9832764,0.01105954871,795.9832764,0.0008540666313,795.9832764,0.01124870498,795.9832764,0.002855815925,795.9832764,0.01498709153,795.9832764,4.468148109E-005,795.9832764,0.01346481405,795.9832764,0.02351606265,795.9832764,0.001955863088,795.9832764,0.01318192761,795.9832764,0.0002784410608,795.9832764,0.01057892852,795.9832764,0.0008824425749,795.9832764,0.01346363872,
794.9831543,0.0002464525751,794.9831543,7.248131624E-006,794.9831543,0.01278262958,794.9831543,0.0004770296509,794.9831543,0.01427725982,794.9831543,-0.0003299207601,794.9831543,0.01727134921,794.9831543,0.0008582425071,794.9831543,0.01028214395,794.9831543,-0.0001479389903,794.9831543,0.009195110761,794.9831543,0.001272475114,794.9831543,0.01476911642,794.9831543,0.0008718597237,794.9831543,0.0127823092,794.9831543,0.02078653686,794.9831543,0.002893756377,794.9831543,0.01224508602,794.9831543,0.0009135440923,794.9831543,0.01017814688,794.9831543,-0.0005875762436,794.9831543,0.01320180763,
794.0170898,-0.0004768165527,794.0170898,-0.0004580435634,794.0170898,0.01364444289,794.0170898,-0.0005108955083,794.0170898,0.01442626212,794.0170898,0.0001210596602,794.0170898,0.01599257998,794.0170898,0.0003591609711,794.0170898,0.01104696281,794.0170898,-0.0008836240158,794.0170898,0.009237019345,794.0170898,-4.809346501E-005,794.0170898,0.01535079628,794.0170898,-0.0002436221548,794.0170898,0.01132569835,794.0170898,0.02105724812,794.0170898,0.001518793753,794.0170898,0.01100320555,794.0170898,-0.000394219649,794.0170898,0.009314053692,794.0170898,-0.0008391367155,794.0170898,0.01474787947,
793.0161743,8.781408542E-005,793.0161743,0.0006720275851,793.0161743,0.01501410175,793.0161743,0.0001917020127,793.0161743,0.01739098877,793.0161743,-0.0008142817533,793.0161743,0.0167458728,793.0161743,0.002718544565,793.0161743,0.0105041638,793.0161743,0.0002338132181,793.0161743,0.01110609993,793.0161743,0.001761171618,793.0161743,0.01449611224,793.0161743,0.0002335024183,793.0161743,0.0120410705,793.0161743,0.02107414976,793.0161743,0.001406173687,793.0161743,0.01190033369,793.0161743,0.0003099915339,793.0161743,0.01026343089,793.0161743,0.0005557388649,793.0161743,0.0137028126,
792.0147705,0.0003373475047,792.0147705,0.0001478340419,792.0147705,0.01291815937,792.0147705,-0.001382024959,792.0147705,0.01532575022,792.0147705,-0.0006289875018,792.0147705,0.0152158998,792.0147705,0.001045445446,792.0147705,0.01071894635,792.0147705,-0.0006743751001,792.0147705,0.01016746741,792.0147705,0.0001507601555,792.0147705,0.01546513382,792.0147705,0.001887610997,792.0147705,0.01157504879,792.0147705,0.0214625448,792.0147705,0.002072007162,792.0147705,0.01277004648,792.0147705,0.0008213614346,792.0147705,0.01066630892,792.0147705,-0.0009610138368,792.0147705,0.01203870215,
791.0130615,-0.00101210014,791.0130615,0.001403680537,791.0130615,0.01427592244,791.0130615,0.0005711091799,791.0130615,0.01707771979,791.0130615,-0.000273269834,791.0130615,0.01738409139,791.0130615,0.002714142436,791.0130615,0.009077521972,791.0130615,0.0007483865484,791.0130615,0.01004948281,791.0130615,0.002610378666,791.0130615,0.01590291411,791.0130615,0.001355457352,791.0130615,0.01430765074,791.0130615,0.02298216149,791.0130615,0.00139466906,791.0130615,0.0131923873,791.0130615,0.001796339056,791.0130615,0.009775880724,791.0130615,0.0001685762545,791.0130615,0.01370927785,
790.0109253,-0.001476662699,790.0109253,-0.000234360079,790.0109253,0.01256101485,790.0109253,-0.00163843832,790.0109253,0.01431436557,790.0109253,-0.001666959375,790.0109253,0.0154423872,790.0109253,0.0005551427603,790.0109253,0.008788919076,790.0109253,-0.001798349083,790.0109253,0.008053932339,790.0109253,0.001027463702,790.0109253,0.01408873219,790.0109253,-0.000305864407,790.0109253,0.01201616134,790.0109253,0.0199401509,790.0109253,0.001636691857,790.0109253,0.01033770479,790.0109253,-0.001039216295,790.0109253,0.009110669605,790.0109253,-0.0004222019343,790.0109253,0.01416869089,
789.0083618,-0.0005856115604,789.0083618,-0.0008447172586,789.0083618,0.01422951184,789.0083618,-0.0003764776047,789.0083618,0.01388240606,789.0083618,0.0006204637466,789.0083618,0.01580446027,789.0083618,-1.744679139E-005,789.0083618,0.00856386777,789.0083618,-0.0008834173204,789.0083618,0.01043352019,789.0083618,0.002600534819,789.0083618,0.01489358768,789.0083618,-0.0006276433705,789.0083618,0.01209555194,789.0083618,0.01999698766,789.0083618,0.001180138323,789.0083618,0.01151284389,789.0083618,0.0006551760016,789.0083618,0.009612373076,789.0083618,-0.0003415087122,789.0083618,0.01301422622,
788.0054321,-0.0007074564928,788.0054321,-0.002151377965,788.0054321,0.01400654297,788.0054321,-0.0005565539468,788.0054321,0.01533218566,788.0054321,6.842200673E-005,788.0054321,0.01672620699,788.0054321,0.0006917836727,788.0054321,0.009388905019,788.0054321,-0.001389765996,788.0054321,0.009764363989,788.0054321,-0.000199793707,788.0054321,0.01419072878,788.0054321,-0.000579769141,788.0054321,0.01246283669,788.0054321,0.02064842172,788.0054321,0.001404953073,788.0054321,0.01166914403,788.0054321,0.0001736001141,788.0054321,0.01024896,788.0054321,0.0005971336504,788.0054321,0.01417585835,
787.0020142,-0.0002274780709,787.0020142,0.0006634202437,787.0020142,0.01549823675,787.0020142,-0.0002232349798,787.0020142,0.01808615029,787.0020142,-0.0007733015809,787.0020142,0.0185633488,787.0020142,0.0001983317925,787.0020142,0.01186638698,787.0020142,0.001160801272,787.0020142,0.01162758376,787.0020142,0.002743682126,787.0020142,0.01573796943,787.0020142,0.001226005726,787.0020142,0.01466979552,787.0020142,0.02195153013,787.0020142,0.001821631333,787.0020142,0.01259395014,787.0020142,0.001387735363,787.0020142,0.01162840798,787.0020142,0.001175466226,787.0020142,0.01337342523,
785.9983521,0.0007102701929,785.9983521,0.0007346175844,785.9983521,0.01648883149,785.9983521,0.002259109635,785.9983521,0.01729424484,785.9983521,0.001024142373,785.9983521,0.01817205735,785.9983521,0.001233482035,785.9983521,0.01194598991,785.9983521,0.0009274224285,785.9983521,0.01164864283,785.9983521,0.00132546667,785.9983521,0.01723991521,785.9983521,0.000262070942,785.9983521,0.01494880393,785.9983521,0.02336961776,785.9983521,0.002891801763,785.9983521,0.01368125342,785.9983521,0.002125252271,785.9983521,0.01119332016,785.9983521,0.002124784049,785.9983521,0.01549281739,
784.9941406,0.0003176852188,784.9941406,0.0003078155569,784.9941406,0.01432988234,784.9941406,0.0006707053399,784.9941406,0.01769722998,784.9941406,-0.001141777495,784.9941406,0.01771823317,784.9941406,0.0002150879882,784.9941406,0.009920062497,784.9941406,0.0005063139251,784.9941406,0.009618672542,784.9941406,-0.0003646836849,784.9941406,0.01439383067,784.9941406,-2.536750799E-005,784.9941406,0.01413205266,784.9941406,0.02183963731,784.9941406,0.000484130258,784.9941406,0.01213811524,784.9941406,0.0003442126617,784.9941406,0.01123863738,784.9941406,-0.0002598691208,784.9941406,0.0135154156,
