,SrcID,DestID,Volume
1,G1,A1,1182.5
3,G1,A2,1182.5
5,G1,B1,1182.5
7,G1,B2,1182.5
8,I1,C1,7.5
9,G1,C1,1175.0
10,I1,C2,7.5
11,G1,C2,1175.0
12,I1,D1,40.0
13,G1,D1,1142.5
14,I1,D2,40.0
15,G1,D2,1142.5
16,I1,E1,125.0
17,G1,E1,1057.5
18,I1,E2,125.0
19,G2,E2,1057.5
20,I1,F1,307.5
21,G2,F1,875.0
22,I1,F2,307.5
23,G2,F2,875.0
24,I1,G1,637.5
25,G2,G1,545.0
26,I1,G2,637.5
27,G2,G2,545.0
28,I1,H1,1182.5
30,I1,H2,1182.5
33,G2,I1,1182.5
35,G2,I2,1182.5
37,G2,J1,1182.5
39,G2,J2,1182.5
40,I1,K1,7.5
41,G2,K1,1175.0
42,I1,K2,7.5
43,G3,K2,1175.0
44,I1,L1,40.0
45,G3,L1,1142.5
46,I1,L2,40.0
47,G3,L2,1142.5
48,I1,M1,125.0
49,G3,M1,1057.5
50,I1,M2,125.0
51,G3,M2,1057.5
52,I1,N1,307.5
53,G3,N1,875.0
54,I1,N2,307.5
55,G3,N2,875.0
56,I1,O1,637.5
57,G3,O1,545.0
58,I1,O2,637.5
59,G3,O2,545.0
60,I1,P1,1182.5
62,I1,P2,1182.5
65,G3,A3,1500.0
67,G4,A4,1500.0
69,G4,B3,1500.0
71,G4,B4,1500.0
72,I1,C3,10.0
73,G4,C3,1490.0
74,I1,C4,10.0
75,G4,C4,1490.0
76,I1,D3,50.0
77,G4,D3,1450.0
78,I1,D4,50.0
79,G4,D4,1450.0
80,I1,E3,160.0
81,G5,E3,1340.0
82,I1,E4,160.0
83,G5,E4,1340.0
84,I2,F3,390.0
85,G5,F3,1110.0
86,I2,F4,390.0
87,G5,F4,1110.0
88,I2,G3,810.0
89,G5,G3,690.0
90,I2,G4,810.0
91,G5,G4,690.0
92,I2,H3,1500.0
94,I2,H4,1500.0
97,G5,I3,1500.0
99,G5,I4,1500.0
101,G5,J3,1500.0
103,G6,J4,1500.0
104,I2,K3,10.0
105,G6,K3,1490.0
