,SrcID,DestID,Volume
1,J1,A1,1182.5
3,J1,A2,1182.5
5,J1,B1,1182.5
7,J1,B2,1182.5
8,L1,C1,7.5
9,J1,C1,1175.0
10,L1,C2,7.5
11,J1,C2,1175.0
12,L1,D1,40.0
13,J1,D1,1142.5
14,L1,D2,40.0
15,J1,D2,1142.5
16,L1,E1,125.0
17,J1,E1,1057.5
18,L1,E2,125.0
19,J2,E2,1057.5
20,L1,F1,307.5
21,J2,F1,875.0
22,L1,F2,307.5
23,J2,F2,875.0
24,L1,G1,637.5
25,J2,G1,545.0
26,L1,G2,637.5
27,J2,G2,545.0
28,L1,H1,1182.5
30,L1,H2,1182.5
33,J2,I1,1182.5
35,J2,I2,1182.5
37,J2,J1,1182.5
39,J2,J2,1182.5
40,L1,K1,7.5
41,J2,K1,1175.0
42,L1,K2,7.5
43,J3,K2,1175.0
44,L1,L1,40.0
45,J3,L1,1142.5
46,L1,L2,40.0
47,J3,L2,1142.5
48,L1,M1,125.0
49,J3,M1,1057.5
50,L1,M2,125.0
51,J3,M2,1057.5
52,L1,N1,307.5
53,J3,N1,875.0
54,L1,N2,307.5
55,J3,N2,875.0
56,L1,O1,637.5
57,J3,O1,545.0
58,L1,O2,637.5
59,J3,O2,545.0
60,L1,P1,1182.5
62,L1,P2,1182.5
65,J3,A3,1500.0
67,J4,A4,1500.0
69,J4,B3,1500.0
71,J4,B4,1500.0
72,L1,C3,10.0
73,J4,C3,1490.0
74,L1,C4,10.0
75,J4,C4,1490.0
76,L1,D3,50.0
77,J4,D3,1450.0
78,L1,D4,50.0
79,J4,D4,1450.0
80,L1,E3,160.0
81,J5,E3,1340.0
82,L1,E4,160.0
83,J5,E4,1340.0
84,L2,F3,390.0
85,J5,F3,1110.0
86,L2,F4,390.0
87,J5,F4,1110.0
88,L2,G3,810.0
89,J5,G3,690.0
90,L2,G4,810.0
91,J5,G4,690.0
92,L2,H3,1500.0
94,L2,H4,1500.0
97,J5,I3,1500.0
99,J5,I4,1500.0
101,J5,J3,1500.0
103,J6,J4,1500.0
104,L2,K3,10.0
105,J6,K3,1490.0
106,L2,K4,10.0
107,J6,K4,1490.0
108,L2,L3,50.0
109,J6,L3,1450.0
110,L2,L4,50.0
111,J6,L4,1450.0
112,L2,M3,160.0
113,J6,M3,1340.0
114,L2,M4,160.0
115,J6,M4,1340.0
116,L2,N3,390.0
117,J7,N3,1110.0
118,L2,N4,390.0
119,J7,N4,1110.0
120,L2,O3,810.0
121,J7,O3,690.0
122,L2,O4,810.0
123,J7,O4,690.0
124,L2,P3,1500.0
126,L3,P4,1500.0
129,J7,A5,1500.0
131,J7,A6,1500.0
133,J7,B5,1500.0
135,J7,B6,1500.0
136,L3,C5,10.0
137,J8,C5,1490.0
