baseline,,BM3,,dmsO1,,dmsO2,,arachadonuicacid_0.5,,arachadonuicacid_1.0,,arachadonuicacid_1.5,,arachadonuicacid_2.0,,arachadonuicacid_2.5,,arachadonuicacid_3.0,,arachadonuicacid_3.5,,arachadonuicacid_4.0,,arachadonuicacid_5.0,,arachadonuicacid_6.0,,arachadonuicacid_7.0,,arachadonuicacid_8.0,,arachadonuicacid_9.0,,arachadonuicacid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9996948,-0.001315704314,799.9996948,0.004410378635,799.9996948,0.004537853412,799.9996948,0.00426699454,799.9996948,0.004944562912,799.9996948,0.005324687809,799.9996948,0.006141803693,799.9996948,0.01130324695,799.9996948,0.008937688544,799.9996948,0.0037973281,799.9996948,0.008592884056,799.9996948,0.009242334403,799.9996948,0.009997163899,799.9996948,0.008720324375,799.9996948,0.01260431577,799.9996948,0.01241358276,799.9996948,0.01250079926,799.9996948,0.01289143879,
799.0010376,-0.001297586947,799.0010376,0.001326609054,799.0010376,0.001871778048,799.0010376,0.004921287764,799.0010376,0.0005423648399,799.0010376,0.0018837112,799.0010376,0.004484468605,799.0010376,0.009440832771,799.0010376,0.004524120595,799.0010376,0.006126681343,799.0010376,0.006704490166,799.0010376,0.006009736564,799.0010376,0.009902954102,799.0010376,0.01083146036,799.0010376,0.007590875961,799.0010376,0.0111296298,799.0010376,0.009446600452,799.0010376,0.009970067069,
798.0019531,0.002931856317,798.0019531,0.00416808622,798.0019531,0.007955106907,798.0019531,0.006595142651,798.0019531,0.007526841946,798.0019531,0.01084035076,798.0019531,0.005779378116,798.0019531,0.0123852687,798.0019531,0.01016089506,798.0019531,0.007199788466,798.0019531,0.008416440338,798.0019531,0.008258905262,798.0019531,0.009533778764,798.0019531,0.009861615486,798.0019531,0.01117395703,798.0019531,0.01276711375,798.0019531,0.01131259929,798.0019531,0.01348123513,
797.0025024,-0.003498442005,797.0025024,0.0007894884911,797.0025024,0.001112086,797.0025024,0.0006326736184,797.0025024,0.001560826087,797.0025024,0.002302723005,797.0025024,0.0032493209,797.0025024,0.007204235997,797.0025024,0.002949630376,797.0025024,0.0033625504,797.0025024,0.003665998112,797.0025024,0.003980630077,797.0025024,0.004085008986,797.0025024,0.007899692282,797.0025024,0.005004498642,797.0025024,0.01155846007,797.0025024,0.006450536661,797.0025024,0.007401278242,
796.0025635,-0.0002621457388,796.0025635,0.003235680982,796.0025635,0.00485733198,796.0025635,0.005802043714,796.0025635,0.004249715246,796.0025635,0.006717187818,796.0025635,0.006157740485,796.0025635,0.008414065465,796.0025635,0.007643168792,796.0025635,0.007094684057,796.0025635,0.006636223756,796.0025635,0.008839480579,796.0025635,0.007404701319,796.0025635,0.0119924238,796.0025635,0.00829571113,796.0025635,0.01258947328,796.0025635,0.01039541978,796.0025635,0.01238670759,
795.0023804,0.003462006105,795.0023804,0.004314078018,795.0023804,0.004414745606,795.0023804,0.006570832804,795.0023804,0.00583426049,795.0023804,0.006312938873,795.0023804,0.006975348108,795.0023804,0.010381951,795.0023804,0.007220343687,795.0023804,0.005217337981,795.0023804,0.01023464743,795.0023804,0.007569907699,795.0023804,0.009567887522,795.0023804,0.00945477467,795.0023804,0.01277076639,795.0023804,0.01713545062,795.0023804,0.008861989714,795.0023804,0.0111292582,
794.001709,-0.0003185394162,794.001709,0.001887532999,794.001709,0.002843569499,794.001709,0.004607334267,794.001709,0.003228170099,794.001709,0.006890127901,794.001709,0.005025212187,794.001709,0.008937846869,794.001709,0.007634079549,794.001709,0.005566630047,794.001709,0.00745260017,794.001709,0.009265472181,794.001709,0.007542408537,794.001709,0.01160022523,794.001709,0.009721768089,794.001709,0.01476692036,794.001709,0.008623935282,794.001709,0.009520548396,
793.0006104,-0.002163741505,793.0006104,0.001881943317,793.0006104,0.002324271016,793.0006104,0.005871464964,793.0006104,0.0008213095134,793.0006104,0.005037913099,793.0006104,0.003998917527,793.0006104,0.007458130363,793.0006104,0.006501063239,793.0006104,0.002570171608,793.0006104,0.007690751459,793.0006104,0.006584682502,793.0006104,0.008640279993,793.0006104,0.009449377656,793.0006104,0.008262915537,793.0006104,0.0140700154,793.0006104,0.01220565476,793.0006104,0.009769843891,
791.9991455,0.00111359125,791.9991455,0.0006158753531,791.9991455,-0.001095457468,791.9991455,0.003174241865,791.9991455,0.005427346099,791.9991455,0.003097377019,791.9991455,0.003873951267,791.9991455,0.01119701285,791.9991455,0.004053287674,791.9991455,0.005217023659,791.9991455,0.006529389881,791.9991455,0.00657934742,791.9991455,0.009100756608,791.9991455,0.01203228813,791.9991455,0.00834246818,791.9991455,0.009090368636,791.9991455,0.007417024579,791.9991455,0.009117331356,
