baseline,,bm3,,dmsio_1,,dmsio_2,,arachadionicAcid_0.5,,arachadionicAcid_1.0,,arachadionicAcid_1.5,,arachadionicAcid_2.0,,arachadionicAcid_3.0,,arachadionicAcid_4.0,,arachadionicAcid_5.0,,arachadionicAcid_6.0,,arachadionicAcid_7.0,,arachadionicAcid_8.0,,arachadionicAcid_9.0,,arachadionicAcid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9985352,-0.0009133830317,799.9985352,0.002255414613,799.9985352,0.008638300002,799.9985352,0.006999496836,799.9985352,0.00173307606,799.9985352,0.004408652894,799.9985352,-0.0004455277813,799.9985352,0.006819754839,799.9985352,0.003640311072,799.9985352,0.008461758494,799.9985352,0.008351783268,799.9985352,0.008739710785,799.9985352,0.007118918467,799.9985352,0.005969003774,799.9985352,0.006495019887,799.9985352,0.006474498659,
798.9998169,-0.0008559814305,798.9998169,-0.0006983593339,798.9998169,0.008963717148,798.9998169,0.002577098319,798.9998169,-0.0010654527,798.9998169,0.0004793619446,798.9998169,0.001597328344,798.9998169,0.003402935341,798.9998169,0.004755332135,798.9998169,0.007995420136,798.9998169,0.008580501191,798.9998169,0.005847614724,798.9998169,0.007563638501,798.9998169,0.007144127972,798.9998169,0.007115234621,798.9998169,0.007612082176,
798.0007935,-0.002586522372,798.0007935,-0.003771059681,798.0007935,0.00888951961,798.0007935,0.0004316817794,798.0007935,-0.001906658872,798.0007935,0.006363344379,798.0007935,0.004032855388,798.0007935,0.001870686188,798.0007935,0.003306988394,798.0007935,0.004811629187,798.0007935,0.004562546965,798.0007935,0.007543277927,798.0007935,0.004964252468,798.0007935,0.006322420668,798.0007935,0.007920201868,798.0007935,0.005712096579,
797.0012817,0.002748188796,797.0012817,6.316222425E-006,797.0012817,0.01196083799,797.0012817,0.002862851368,797.0012817,0.003506210167,797.0012817,0.004913093057,797.0012817,0.003421667963,797.0012817,0.005977506749,797.0012817,0.006266373675,797.0012817,0.006617561914,797.0012817,0.009729444981,797.0012817,0.008425915614,797.0012817,0.00641354546,797.0012817,0.006916796789,797.0012817,0.01024562027,797.0012817,0.01153727248,
796.0014038,0.003504957538,796.0014038,0.002408599947,796.0014038,0.01406322327,796.0014038,0.00629056152,796.0014038,0.006213537417,796.0014038,0.003750065574,796.0014038,0.008067197166,796.0014038,0.008953173645,796.0014038,0.008845557459,796.0014038,0.01049397979,796.0014038,0.01174022723,796.0014038,0.008110632189,796.0014038,0.01467081346,796.0014038,0.01227328461,796.0014038,0.01406589709,796.0014038,0.01264282409,
795.0010986,-0.000102030499,795.0010986,0.003680617316,795.0010986,0.01112407912,795.0010986,0.004861206282,795.0010986,0.002753164619,795.0010986,0.006152437069,795.0010986,0.00114696729,795.0010986,0.0075402488,795.0010986,0.00774824759,795.0010986,0.007139522582,795.0010986,0.01128765196,795.0010986,0.008452414535,795.0010986,0.009485940449,795.0010986,0.01003830321,795.0010986,0.008726848289,795.0010986,0.01028238237,
794.0004272,-0.002463607816,794.0004272,-0.0009443798335,794.0004272,0.01044258941,794.0004272,-0.0002023811103,794.0004272,-0.0006091871182,794.0004272,0.0005609227228,794.0004272,-0.0001676569373,794.0004272,0.00217704731,794.0004272,0.002409042325,794.0004272,0.005880596116,794.0004272,0.008651820011,794.0004272,0.007539116312,794.0004272,0.007310182787,794.0004272,0.005782473832,794.0004272,0.008127643727,794.0004272,0.008902519941,
792.9993896,-0.001533053699,792.9993896,-0.0002043475251,792.9993896,0.01062763017,792.9993896,0.0008417727076,792.9993896,0.001723694033,792.9993896,0.003417780623,792.9993896,0.002650459297,792.9993896,0.005997295957,792.9993896,0.001041657059,792.9993896,0.009564288892,792.9993896,0.01027848665,792.9993896,0.008325633593,792.9993896,0.009583606385,792.9993896,0.008701731451,792.9993896,0.007872303948,792.9993896,0.01090925466,
791.9978638,-0.002474984387,791.9978638,-0.0007095239707,791.9978638,0.007652547676,791.9978638,-0.0008738072356,791.9978638,0.002768925391,791.9978638,-0.0006431522779,791.9978638,0.003996435553,791.9978638,0.003422085429,791.9978638,0.003073835513,791.9978638,0.004985357169,791.9978638,0.006613882259,791.9978638,0.00462371204,791.9978638,0.008097102866,791.9978638,0.007888805121,791.9978638,0.008613320068,791.9978638,0.007136575412,
790.9960327,0.002486722777,790.9960327,0.003578031668,790.9960327,0.01333482563,790.9960327,0.001917536603,790.9960327,0.002949291607,790.9960327,0.007025751285,790.9960327,0.009228901938,790.9960327,0.008700939827,790.9960327,0.005767101422,790.9960327,0.009418690577,790.9960327,0.01161030214,790.9960327,0.009514992125,790.9960327,0.0119627798,790.9960327,0.01089391299,790.9960327,0.015910808,790.9960327,0.01156231482,
789.9937134,-0.0007859112811,789.9937134,0.002109384863,789.9937134,0.01084441133,789.9937134,0.002198172733,789.9937134,0.004368906375,789.9937134,0.003462449647,789.9937134,0.003127438249,789.9937134,0.007589084562,789.9937134,0.006267108954,789.9937134,0.008675560355,789.9937134,0.01163452398,789.9937134,0.007116155699,789.9937134,0.007751330733,789.9937134,0.008419950493,789.9937134,0.007506904192,789.9937134,0.009592974558,
788.9909668,-0.001110898098,788.9909668,0.002471622778,788.9909668,0.0107949432,788.9909668,0.002996258438,788.9909668,0.001999888103,788.9909668,0.002988569438,788.9909668,0.004876206163,788.9909668,0.004437994212,788.9909668,0.006459995173,788.9909668,0.006549178157,788.9909668,0.006956934929,788.9909668,0.00776368985,788.9909668,0.005280953366,788.9909668,0.007974063046,788.9909668,0.008855068125,788.9909668,0.008559458889,
787.987915,-0.0002636462159,787.987915,0.005774079356,787.987915,0.01176950894,787.987915,0.002730761655,787.987915,0.0009933961555,787.987915,0.0009418979753,787.987915,0.005863173865,787.987915,0.001814092859,787.987915,0.003862276673,787.987915,0.008421270177,787.987915,0.01208993606,787.987915,0.007181575987,787.987915,0.01033637952,787.987915,0.008735934272,787.987915,0.008987633511,787.987915,0.007267748471,
786.984436,0.002648193389,786.984436,0.001915170578,786.984436,0.0115016792,786.984436,0.003585548606,786.984436,0.002975537209,786.984436,0.005074027926,786.984436,0.004632084165,786.984436,0.007853141055,786.984436,0.009181758389,786.984436,0.007404806558,786.984436,0.01033367496,786.984436,0.007163522765,786.984436,0.009689209051,786.984436,0.009409590624,786.984436,0.009285676293,786.984436,0.009086191654,
786.0151367,-0.001930936007,786.0151367,0.003190930933,786.0151367,0.01432929374,786.0151367,0.006093996577,786.0151367,0.001385372248,786.0151367,0.004338706844,786.0151367,0.001973233186,786.0151367,0.009014563635,786.0151367,0.007261299528,786.0151367,0.0104023926,786.0151367,0.01007963158,786.0151367,0.009832196869,786.0151367,0.01054550987,786.0151367,0.009479749948,786.0151367,0.009729630314,786.0151367,0.01017483417,
785.0108643,-0.0006440310972,785.0108643,0.001364156371,785.0108643,0.009261347353,785.0108643,0.00610168837,785.0108643,0.002570614219,785.0108643,0.002275711391,785.0108643,0.003550105495,785.0108643,0.00481202174,785.0108643,0.005910876673,785.0108643,0.008017331362,785.0108643,0.007310682908,785.0108643,0.005877132528,785.0108643,0.006714979187,785.0108643,0.007646303624,785.0108643,0.004907254595,785.0108643,0.01203380525,
