baseline#],,bm3,,dmso_1,,dmso_2,,arachadonicAcid_0.5,,arachadoinicAcid_1.0.,,arachadoinicAcid_1.5,,arachadoinicAcid_2.0,,arachadoinicAcid_2.5,,arachadoinicAcid_3.0,,arachadoinicAcid_4.0,,arachadoinicAcid_5.0,,arachadoinicAcid_6.0,,arachadoinicAcid_7.0,,arachadoinicAcid_8.0,,arachadoinicAcid_9.0,,arachadoinicAcid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9985352,0.0005435829517,799.9985352,0.006273963489,799.9985352,0.00163344387,799.9985352,0.004485200625,799.9985352,0.005004158244,799.9985352,0.005493273027,799.9985352,0.006654938683,799.9985352,0.006100690924,799.9985352,0.003641407471,799.9985352,0.01620579511,799.9985352,0.005288132932,799.9985352,0.00824257452,799.9985352,0.006530020852,799.9985352,0.008499743417,799.9985352,0.007463660557,799.9985352,0.01239147503,799.9985352,0.01580540091,
798.9998169,0.0006304960116,798.9998169,0.001334970002,798.9998169,-0.001318956143,798.9998169,0.002883098321,798.9998169,-1.491006151E-005,798.9998169,0.001850044471,798.9998169,0.002856337233,798.9998169,0.003262022277,798.9998169,0.003639240982,798.9998169,0.01143036969,798.9998169,0.004283437971,798.9998169,0.008337797597,798.9998169,0.005307078362,798.9998169,0.008542958647,798.9998169,0.009666816331,798.9998169,0.007855697535,798.9998169,0.009634314105,
798.0007935,0.00100143929,798.0007935,0.003230856266,798.0007935,0.006728991866,798.0007935,0.002041914966,798.0007935,0.005050038453,798.0007935,0.005865823478,798.0007935,0.006971849594,798.0007935,0.006982397754,798.0007935,0.004884321708,798.0007935,0.01586446352,798.0007935,0.007327005267,798.0007935,0.01293552015,798.0007935,0.0102452226,798.0007935,0.006489843596,798.0007935,0.009246221744,798.0007935,0.01130000595,798.0007935,0.01550585497,
797.0012817,-0.004096231423,797.0012817,-7.552868919E-005,797.0012817,0.003331664484,797.0012817,0.003757324303,797.0012817,0.0003610262938,797.0012817,0.002767805243,797.0012817,0.004692133516,797.0012817,0.005094430409,797.0012817,0.004131837748,797.0012817,0.01288879942,797.0012817,0.005522373132,797.0012817,0.009153284132,797.0012817,0.005383077078,797.0012817,0.006274803542,797.0012817,0.008090904914,797.0012817,0.009977218695,797.0012817,0.01091551967,
796.0014038,-0.002249608049,796.0014038,0.003823546693,796.0014038,0.002369764959,796.0014038,0.002336450852,796.0014038,0.0001564052945,796.0014038,0.0009367354796,796.0014038,0.002492059721,796.0014038,0.004545909818,796.0014038,0.003438262036,796.0014038,0.01171703637,796.0014038,0.003782078158,796.0014038,0.009977721609,796.0014038,0.005377049092,796.0014038,0.00516125001,796.0014038,0.00924064219,796.0014038,0.01021076925,796.0014038,0.01010535751,
795.0010986,0.0002055832447,795.0010986,0.002239620313,795.0010986,0.001670342055,795.0010986,0.003580119694,795.0010986,0.003899077419,795.0010986,0.003169913311,795.0010986,0.004546747077,795.0010986,0.003381620627,795.0010986,0.005514009856,795.0010986,0.01447954588,795.0010986,0.006221782416,795.0010986,0.008169898763,795.0010986,0.007888594642,795.0010986,0.007669620216,795.0010986,0.00792655535,795.0010986,0.01053500641,795.0010986,0.01063208655,
794.0004272,-0.0007925777463,794.0004272,0.002280837623,794.0004272,0.004107743502,794.0004272,0.004802206531,794.0004272,0.003631018335,794.0004272,0.003318569856,794.0004272,0.005442103371,794.0004272,0.009523618035,794.0004272,0.003203734756,794.0004272,0.01508203615,794.0004272,0.00720642088,794.0004272,0.01003446151,794.0004272,0.008903180249,794.0004272,0.003137267893,794.0004272,0.005886315834,794.0004272,0.01303153764,794.0004272,0.0113050798,
792.9993896,0.001430534059,792.9993896,0.001420535264,792.9993896,0.003410214325,792.9993896,0.005217600148,792.9993896,0.002504556673,792.9993896,0.004638651386,792.9993896,0.004405749962,792.9993896,0.004049655981,792.9993896,0.003903125878,792.9993896,0.01563289948,792.9993896,0.002496433677,792.9993896,0.01066134777,792.9993896,0.009630396962,792.9993896,0.007797581144,792.9993896,0.008067144081,792.9993896,0.00930519402,792.9993896,0.01284824219,
791.9978638,-0.003494076664,791.9978638,0.004351753742,791.9978638,0.001419730135,791.9978638,0.002000980312,791.9978638,0.003096360248,791.9978638,0.004072884563,791.9978638,0.00448465161,791.9978638,0.004152535927,791.9978638,0.007237741724,791.9978638,0.01257998683,791.9978638,0.005274272058,791.9978638,0.006304481532,791.9978638,0.009835029952,791.9978638,0.007077581715,791.9978638,0.009084473364,791.9978638,0.009468293749,791.9978638,0.009313047864,
