baselien,,bm3WTHeme_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,-0.0004837463202,800.0101318,0.007211526856,
799.0389404,-0.001228001085,799.0389404,0.006730122026,
798.0673218,0.0008103391738,798.0673218,0.007018043194,
796.9564209,0.002037311438,796.9564209,0.007392747328,
795.9840088,9.50895701E-5,795.9840088,0.007299100049,
795.0111694,-0.0001675016829,795.0111694,0.006157057825,
794.0380249,0.001062104711,794.0380249,0.007499450818,
793.0644531,0.001895826659,793.0644531,0.008784085512,
791.951355,6.466796185E-5,791.951355,0.007067977916,
790.9769897,0.001188366557,790.9769897,0.006942204665,
790.0022583,-0.000446613878,790.0022583,0.007149785757,
789.0271606,-0.001018659794,789.0271606,0.005896182265,
788.0516968,-0.0005432654289,788.0516968,0.005758943502,
786.9364014,-0.0008547413745,786.9364014,0.007123549934,
785.960144,-0.0003405258176,785.960144,0.005376787391,
784.9835205,0.001153248362,784.9835205,0.008509933017,
784.0064697,-0.0001594282949,784.0064697,0.007440249901,
783.0291138,0.0002605686605,783.0291138,0.007736442145,
782.0513306,-8.852911378E-6,782.0513306,0.007932750508,
780.9334717,-0.0009754260536,780.9334717,0.007111155894,
779.9549561,-0.001166458824,779.9549561,0.007558423094,
778.9760132,0.0002038480598,778.9760132,0.008271622472,
777.9967651,-4.674754382E-5,777.9967651,0.007163417526,
777.0170898,-0.001050475403,777.0170898,0.006277193781,
776.0371094,-2.868070624E-5,776.0371094,0.006602554582,
775.0567017,0.0001984871778,775.0567017,0.008954600431,
773.9358521,0.0006615276798,773.9358521,0.00869328063,
772.9547119,-0.001283133868,772.9547119,0.007486519869,
771.9731445,0.002015543636,771.9731445,0.008257850073,
770.991272,0.001324479934,770.991272,0.006485455204,
770.0090332,0.0002908744791,770.0090332,0.005533725489,
769.0264282,-0.0009567778907,769.0264282,0.006630809046,
768.043396,-0.0002442430705,768.043396,0.007990779355,
767.0600586,-0.001048099599,767.0600586,0.005840871949,
765.935791,0.001147771953,765.935791,0.00753811514,
764.9517212,-0.0007940763608,764.9517212,0.008445103653,
763.9672241,1.884539415E-5,763.9672241,0.006098800804,
762.9823608,-0.00162791647,762.9823608,0.007349620108,
761.9971924,0.00131791085,761.9971924,0.008629268967,
761.0116577,0.0002607499482,761.0116577,0.0081216041,
760.0256958,0.001437416533,760.0256958,0.00884457957,
759.0394287,0.0008954380173,759.0394287,0.006933867,
758.0527954,-0.001188970171,758.0527954,0.008522604592,
757.0657959,0.0006422395818,757.0657959,0.008715359494,
755.9373779,0.0006916540442,755.9373779,0.009074798785,
754.949646,-0.0007902005455,754.949646,0.0077845091,
753.9615479,-0.0001270815119,753.9615479,0.008860536851,
752.9730835,-7.257819379E-5,752.9730835,0.01102736685,
751.9842529,0.001388462493,751.9842529,0.009470198303,
750.9950562,0.001073756022,750.9950562,0.009455780499,
750.0055542,0.001017733477,750.0055542,0.008693994023,
749.015625,0.001220113016,749.015625,0.008037582971,
748.0253906,0.0007640748518,748.0253906,0.008353445679,
747.03479,-0.0002885326685,747.03479,0.008032889105,
746.0438843,0.002008859999,746.0438843,0.008747978136,
745.0525513,0.00121961988,745.0525513,0.009171420708,
744.0609131,0.001376231317,744.0609131,0.009642280638,
743.0689087,0.0007111258456,743.0689087,0.01048957743,
741.9347534,-0.0005986919859,741.9347534,0.007551495917,
740.9420166,0.0001365440548,740.9420166,0.00810876023,
739.9489136,-8.137786062E-5,739.9489136,0.008919244632,
738.9554443,0.0002924027795,738.9554443,0.008458301425,
737.9616699,0.0004933042219,737.9616699,0.008796606213,
736.9675293,0.0004174305941,736.9675293,0.009453160688,
735.9730225,0.00112903316,735.9730225,0.009509144351,
734.9782104,0.00158654619,734.9782104,0.009678594768,
733.9830322,0.0001217846657,733.9830322,0.008916153572,
732.9874878,0.0004538887006,732.9874878,0.009060208686,
731.9915771,0.0001862376957,731.9915771,0.008806485683,
730.9953613,0.0004394553835,730.9953613,0.01005398575,
729.9987793,-0.0007819837192,729.9987793,0.008995165117,
729.0018921,0.0008006917196,729.0018921,0.009869321249,
728.0046387,-0.0007287512999,728.0046387,0.009277002886,
727.007019,-0.0002506074088,727.007019,0.009240351617,
726.0090942,-0.0007367107319,726.0090942,0.008843338117,
725.0108032,0.0007321542944,725.0108032,0.009472289123,
724.012146,0.0006259594229,724.012146,0.009778077714,
723.0131836,0.0007820717292,723.0131836,0.009413505904,
722.013855,-0.0005392839084,722.013855,0.009648711421,
721.0142212,0.0006888020434,721.0142212,0.009070913307,
720.0142212,0.0001937479101,720.0142212,0.008824449033,
719.013916,-0.0001285824546,719.013916,0.008368039504,
718.0131836,0.0006135941949,718.0131836,0.009825127199,
717.012207,0.0003167526447,717.012207,0.009392607957,
716.0108643,-0.001150245662,716.0108643,0.008134791628,
715.0091553,-0.0004077713529,715.0091553,0.009691829793,
714.0071411,-0.001482699416,714.0071411,0.008346453309,
713.0047607,0.0006388175534,713.0047607,0.01011235267,
712.0020752,-0.000498019217,712.0020752,0.008621981367,
710.9990234,0.0001135248094,710.9990234,0.009463743307,
709.9956665,0.0005621409509,709.9956665,0.01058616955,
708.9919434,6.378770922E-5,708.9919434,0.009444668889,
707.987915,0.000924361404,707.987915,0.009625288658,
706.9835815,0.0007515759789,706.9835815,0.00921010226,
705.9788208,0.0004632952332,705.9788208,0.009806036949,
704.9738159,0.0004668195033,704.9738159,0.008748400025,
703.9684448,-0.0005395941553,703.9684448,0.008227273822,
702.9627075,0.0008751279092,702.9627075,0.009206453338,
701.956665,-0.0003691322927,701.956665,0.009655619971,
700.9503174,7.89852711E-5,700.9503174,0.009967974387,
699.9436035,0.001385268406,699.9436035,0.009867653251,
698.9365845,0.0002203454787,698.9365845,0.009431758896,
697.9292603,0.0002394853364,697.9292603,0.009119075723,
697.0655518,-0.0009903026512,697.0655518,0.009554973803,
696.0575562,-0.0001309114887,696.0575562,0.008736488409,
695.0492554,-0.0005402146489,695.0492554,0.008266398683,
694.0406494,-0.0003186428803,694.0406494,0.009494221769,
693.0316772,-0.0004293394741,693.0316772,0.008370388299,
692.0223999,0.0003808978072,692.0223999,0.01025452558,
691.0128174,0.0003479950246,691.0128174,0.009209441021,
690.0028687,0.0003136958985,690.0028687,0.00967319496,
688.9926147,0.001116056694,688.9926147,0.009103717282,
687.9819946,-7.138763613E-5,687.9819946,0.009311302565,
686.9711304,-3.499641753E-5,686.9711304,0.009847713634,
685.9598389,-0.001404731651,685.9598389,0.007993415929,
684.9483032,-0.0003932885884,684.9483032,0.009051090106,
683.9364624,-0.0004186331353,683.9364624,0.009042446502,
683.0688477,0.0001947320125,683.0688477,0.009851871058,
682.0563965,-0.0005636375863,682.0563965,0.009664566256,
681.0435791,-0.0002435704228,681.0435791,0.009476415813,
680.0304565,-0.000533440907,680.0304565,0.009371024556,
679.0170288,-0.0004945027758,679.0170288,0.008869783953,
678.0032349,-0.0006910194643,678.0032349,0.01009142119,
676.9891357,-0.000723117555,676.9891357,0.01022791583,
675.9747314,-0.0001906341931,675.9747314,0.01042455807,
674.960022,-0.0006859538844,674.960022,0.009887514636,
673.9450073,-0.001490645111,673.9450073,0.0101509057,
