baseline,,b0,,p0,,p0,,b1,,p1,,b2,,p2,,b3,,p3,,4,,p4,,b5,,p5,,p6,,b6,,p6,,b7,,p7,,b8,,p8,,b9,,p9,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9915161,-0.0002461575496,799.9915161,0.06148577854,799.9915161,1.936817527,799.9915161,0.009000424296,799.9915161,0.0007301317528,799.9915161,0.01575589925,799.9915161,-0.0007596061914,799.9915161,0.01359804627,799.9915161,-8.023908595E-005,799.9915161,0.009405517019,799.9915161,-0.000886052323,799.9915161,0.01065877452,799.9915161,0.003126186784,799.9915161,0.01476938464,799.9915161,0.001088859281,799.9915161,0.0008889532182,799.9915161,0.01417759713,799.9915161,0.0006946875365,799.9915161,0.01490859035,799.9915161,0.0006752424524,799.9915161,0.01006474253,799.9915161,0.00103729777,799.9915161,0.009906210937,
798.9864502,-0.0002818067442,798.9864502,0.06142914668,798.9864502,2.01059866,798.9864502,0.008370731026,798.9864502,-0.001108470955,798.9864502,0.01522447914,798.9864502,-0.0008051868645,798.9864502,0.01308662351,798.9864502,-0.001253245282,798.9864502,0.00902563706,798.9864502,-0.000875460566,798.9864502,0.009092509747,798.9864502,-0.002118663862,798.9864502,0.01340335235,798.9864502,-0.001209312119,798.9864502,7.16841605E-005,798.9864502,0.01392792445,798.9864502,-0.0001722628367,798.9864502,0.01369757578,798.9864502,-0.0007423442439,798.9864502,0.009793434292,798.9864502,-0.0005471951445,798.9864502,0.009116405621,
798.0155029,-0.0006017423002,798.0155029,0.06177300587,798.0155029,2.008620977,798.0155029,0.008896257728,798.0155029,-0.0002008286683,798.0155029,0.01542433631,798.0155029,-0.00048591831,798.0155029,0.01444480754,798.0155029,0.0001153114135,798.0155029,0.009719464928,798.0155029,6.275212218E-005,798.0155029,0.01062012278,798.0155029,-0.001057396061,798.0155029,0.0151245445,798.0155029,3.934845518E-005,798.0155029,-0.0002419146476,798.0155029,0.0139133567,798.0155029,0.0001598234812,798.0155029,0.01325518079,798.0155029,-0.0009207708063,798.0155029,0.009749988094,798.0155029,-0.000570927863,798.0155029,0.01047745906,
797.0095825,-0.0004676628741,797.0095825,0.06171863526,797.0095825,1.95071876,797.0095825,0.01010217797,797.0095825,-0.0003964437929,797.0095825,0.01556270476,797.0095825,0.0006680090446,797.0095825,0.01460899319,797.0095825,0.0008746869862,797.0095825,0.009917731397,797.0095825,0.001348082791,797.0095825,0.01139927655,797.0095825,0.002375569195,797.0095825,0.01617527194,797.0095825,0.0007660456467,797.0095825,0.0006567573873,797.0095825,0.01455001999,797.0095825,0.0005100977141,797.0095825,0.01429464854,797.0095825,0.0001042812,797.0095825,0.01118091587,797.0095825,0.001183045446,797.0095825,0.01101021562,
796.0031738,-0.0003861504665,796.0031738,0.0619318895,796.0031738,1.986617804,796.0031738,0.008271490224,796.0031738,-0.0005504009314,796.0031738,0.01603171229,796.0031738,-6.33124655E-005,796.0031738,0.01329310611,796.0031738,0.0007152225589,796.0031738,0.009696594439,796.0031738,-0.000455147383,796.0031738,0.01012652833,796.0031738,-0.005433809478,796.0031738,0.01432228461,796.0031738,-8.608819917E-005,796.0031738,-0.0006022076122,796.0031738,0.0141049372,796.0031738,-0.001221909188,796.0031738,0.01485252194,796.0031738,-0.000452096021,796.0031738,0.009443663992,796.0031738,0.0001942399686,796.0031738,0.00895610638,
794.99646,0.001370284706,794.99646,0.06199276447,794.99646,1.995459676,794.99646,0.009977112524,794.99646,0.000621345127,794.99646,0.01614112407,794.99646,0.00149375305,794.99646,0.01550797466,794.99646,-3.038906289E-005,794.99646,0.0110148089,794.99646,0.00203908002,794.99646,0.0118667325,794.99646,0.004336772021,794.99646,0.01558331121,794.99646,0.0008922993438,794.99646,0.0007957384223,794.99646,0.01569660939,794.99646,0.0005445160205,794.99646,0.0171692986,794.99646,0.00109371217,794.99646,0.01158613432,794.99646,0.001921488671,794.99646,0.01078331936,
793.9892578,-0.0005320447963,793.9892578,0.06124150753,793.9892578,1.987713695,793.9892578,0.009373827837,793.9892578,0.0008541704156,793.9892578,0.01573517919,793.9892578,-0.0003976334701,793.9892578,0.01380808558,793.9892578,0.000608150498,793.9892578,0.009668774903,793.9892578,0.0007764443872,793.9892578,0.01102933194,793.9892578,-0.002277367981,793.9892578,0.01467199158,793.9892578,-0.000261990499,793.9892578,0.000267173571,793.9892578,0.01526716165,793.9892578,-0.001342491829,793.9892578,0.0138395112,793.9892578,-0.0001715383114,793.9892578,0.009088465013,793.9892578,-0.0008742722566,793.9892578,0.01077342127,
793.0164795,-0.0003632870212,793.0164795,0.06140406802,793.0164795,1.999021649,793.0164795,0.01091875788,793.0164795,-0.001047634869,793.0164795,0.01563834585,793.0164795,-0.0002978970879,793.0164795,0.01419607829,793.0164795,9.397623217E-005,793.0164795,0.008784164675,793.0164795,-0.0008681237232,793.0164795,0.01145253517,793.0164795,-0.001768908463,793.0164795,0.01478103455,793.0164795,2.215895438E-005,793.0164795,-0.0007520606741,793.0164795,0.01457103249,793.0164795,0.0001160364118,793.0164795,0.01406814344,793.0164795,-0.0006491488894,793.0164795,0.01008169819,793.0164795,-0.0004175986978,793.0164795,0.009392688051,
792.0084839,-0.0007008920657,792.0084839,0.06083582714,792.0084839,1.90303719,792.0084839,0.009561457671,792.0084839,-0.001647825236,792.0084839,0.01626319438,792.0084839,0.0006994582363,792.0084839,0.01463927329,792.0084839,0.0004252816434,792.0084839,0.01052129548,792.0084839,0.0006768757594,792.0084839,0.01099680737,792.0084839,-0.0002432082256,792.0084839,0.01640680432,792.0084839,-0.0004920722567,792.0084839,-0.0004376147117,792.0084839,0.01528515294,792.0084839,-0.0009207191179,792.0084839,0.01500919834,792.0084839,-0.0002685615327,792.0084839,0.01052906644,792.0084839,0.001048663049,792.0084839,0.009560927749,
