experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,BSA,well_volume,controls_ok,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,dispense_bulk,plate_type
18,Arachadionic Acid,28.176719641699382,0.8699999999834679,-36.1609221853965,10.0,0.417,61.940749999999895,0.38049770914612,0.05486346689738082,0.040196370966332814,0.1,23.63636363636364,True,0,2,3700,Manual,?
18,Arachadionic Acid,31.795142512708765,0.78,-35.893143476849446,10.0,0.391,53.33156249999997,0.16191497416646325,0.02522895162308572,0.016055141128852993,0.1,23.63636363636364,True,0,2,3700,Manual,?
18,Arachadionic Acid,27.273387772199193,1.1349993785257158,-37.49734229145388,16.363636363636363,0.601,74.35174999999984,0.11759896138745385,0.02884162418648238,0.01645801411075513,0.1,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,27.296038544308185,0.9849999930323842,-43.744529652211384,16.363636363636363,0.624,79.30943749999987,0.1381209873855108,0.024675030756964478,0.024064364917672935,0.1,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,27.128496852333296,0.769999999867022,-36.37896499192391,10.0,0.5589999999999999,72.63493749999986,0.18830106511211928,0.027743403334332107,0.02317061491860009,0.390909090909091,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,30.384204789017137,0.8299999961818996,-36.932527979476866,10.0,0.586,69.6528749999999,0.10202652076696808,0.008276472678623399,0.011661895161313508,0.390909090909091,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,39.65264689715812,0.5750000000000001,-53.639069185216066,10.0,0.262,29.432999999999993,0.2721939950483004,0.021776461735421696,0.00397404233579515,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,39.540152696230855,0.6199999999999661,-37.67168349520043,10.0,0.273,29.937625000000004,0.12966800930923963,0.012623673904895622,0.006276764113302655,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,26.35836260471006,0.5349999997565663,-33.93645723011009,20.0,0.263,30.844750000000012,0.1915739983831764,0.02212787511585459,0.011793195563011803,0.1,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,32.452012690358,0.5999999999999999,-38.56807658790068,20.0,0.29700000000000004,35.66668750000006,0.17962445138736718,0.014431488389728107,0.020891885081230167,0.1,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,34.00514522270193,1.0149999999999992,-43.214299699942465,20.0,0.585,58.93249999999999,0.1616598737111589,0.027928160391567917,0.0036474798301500185,0.5,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.9589091459678368,0.23677022083212973,0.3228670470413071,20.0,0.624,63.86049999999993,0.2956028620096486,0.10623525107716635,0.004187399191943437,0.5,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,27.206253569258045,0.7899999990936636,-32.3879678151114,14.545454545454549,0.42200000000000004,45.86506249999999,0.15651674511998417,0.039532988033503656,0.010095715726063933,0.5,25.454545454545453,True,0,2,3700,Manual,?
18,Arachadionic Acid,48.85502403014961,0.859999999999948,-37.51085622151642,14.545454545454549,0.45599999999999996,54.332312499999986,0.1257392756913221,0.01587844450820042,0.016607006049400463,0.5,25.454545454545453,True,0,2,3700,Manual,?
18,Arachadionic Acid,17.682373524209233,0.44160867108471374,-12.417332244052014,20.0,0.257,28.909749999999995,0.21484660474374637,0.033099147593685416,0.006432510080712435,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,47.42364161399922,0.6549999999998669,-37.752905552194754,20.0,0.293,35.54093750000007,0.10771451310738216,0.007160157619972987,0.005789012097977017,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.5784967588700304,0.10388491049828738,0.5514862875664344,13.636363636363637,0.232,24.41962500000003,0.5218887810986816,0.06906673791134403,0.03625897177003186,0.2454545454545455,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,33.81769355997938,0.6899999999999961,-35.72950206473305,13.636363636363637,0.29899999999999993,35.764750000000035,0.19751256778855095,0.008176621726430957,0.010913104836218358,0.2454545454545455,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.7632235837586923,0.2098037137608823,0.6216693998555505,20.0,0.425,37.14350000000002,0.5794354374953803,0.1235075908598334,0.06612227822747407,0.2454545454545455,26.363636363636363,True,0,2,3700,Manual,?
18,Arachadionic Acid,33.579842695683446,0.945,-33.932461574777996,20.0,0.497,58.27656249999996,0.0726377339885616,0.010500850305706537,0.014840473790148901,0.2454545454545455,26.363636363636363,True,0,2,3700,Manual,?
18,Arachadionic Acid,28.188955661310366,0.7699999999661888,-36.726659142121854,10.0,0.371,52.09331249999994,0.27675581385847975,0.0405513343095602,0.029665171372843753,0.1,23.63636363636364,True,0,2,3700,Manual,?
18,Arachadionic Acid,31.029992174666273,0.7149999999999997,-35.34372984599538,10.0,0.381,47.981375,0.1563456515355606,0.02108486254570866,0.016913608868189264,0.1,23.63636363636364,True,0,2,3700,Manual,?
18,Arachadionic Acid,26.547456385754426,1.0349999464456496,-35.9802394816662,16.363636363636363,0.585,66.65824999999997,0.12036415086668299,0.0325170285059558,0.013204233869129025,0.1,30.0,True,0,2,3700,Manual,?
