User: USER,Path: C:\Program Files (x86)\BMG\PHERAstar\User\Data\,Test run no.: 322
Test name: PathLength,Date: 17/12/2019,Time: 14:34:26
ID1: 20191217_pathlength_1,
Absorbance

Well Row,Well Col,Content,Raw Data (900 1),Raw Data (975 2),
A,1,Sample X3,0.032,0.062,
B,1,Sample X27,0.043,0.072,
C,1,Sample X51,0.027,0.057,
D,1,Sample X75,0.056,0.085,
E,1,Sample X99,0.061,0.092,
F,1,Sample X123,0.033,0.064,
G,1,Sample X147,0.028,0.057,
H,1,Sample X171,0.028,0.055,
I,1,Sample X195,0.027,0.057,
J,1,Sample X219,0.027,0.058,
K,1,Sample X243,0.032,0.061,
L,1,Sample X267,0.029,0.056,
M,1,Sample X291,0.031,0.063,
N,1,Sample X315,0.028,0.057,
O,1,Sample X339,0.025,0.056,
P,1,Sample X363,0.029,0.060,
A,2,Sample X4,0.024,0.060,
B,2,Sample X28,0.018,0.056,
C,2,Sample X52,0.020,0.056,
D,2,Sample X76,0.019,0.058,
E,2,Sample X100,0.021,0.060,
F,2,Sample X124,0.018,0.056,
G,2,Sample X148,0.017,0.054,
H,2,Sample X172,0.017,0.052,
I,2,Sample X196,0.018,0.055,
J,2,Sample X220,0.017,0.053,
K,2,Sample X244,0.017,0.051,
L,2,Sample X268,0.018,0.053,
M,2,Sample X292,0.015,0.052,
N,2,Sample X316,0.014,0.050,
O,2,Sample X340,0.020,0.057,
P,2,Sample X364,0.036,0.072,
A,3,Sample X5,0.029,0.059,
B,3,Sample X29,0.028,0.057,
C,3,Sample X53,0.025,0.054,
D,3,Sample X77,0.028,0.058,
E,3,Sample X101,0.029,0.059,
F,3,Sample X125,0.023,0.054,
G,3,Sample X149,0.026,0.055,
H,3,Sample X173,0.029,0.057,
I,3,Sample X197,0.024,0.055,
J,3,Sample X221,0.027,0.058,
K,3,Sample X245,0.032,0.059,
L,3,Sample X269,0.030,0.059,
M,3,Sample X293,0.024,0.054,
N,3,Sample X317,0.025,0.056,
O,3,Sample X341,0.064,0.094,
P,3,Sample X365,0.027,0.057,
A,4,Sample X6,0.024,0.061,
B,4,Sample X30,0.018,0.057,
C,4,Sample X54,0.018,0.055,
D,4,Sample X78,0.018,0.057,
E,4,Sample X102,0.020,0.058,
F,4,Sample X126,0.018,0.058,
G,4,Sample X150,0.019,0.055,
H,4,Sample X174,0.018,0.052,
I,4,Sample X198,0.020,0.056,
J,4,Sample X222,0.016,0.051,
K,4,Sample X246,0.018,0.050,
L,4,Sample X270,0.014,0.050,
M,4,Sample X294,0.014,0.052,
N,4,Sample X318,0.013,0.049,
O,4,Sample X342,0.016,0.053,
P,4,Sample X366,0.013,0.051,
A,5,Sample X7,0.037,0.065,
B,5,Sample X31,0.029,0.058,
C,5,Sample X55,0.026,0.056,
D,5,Sample X79,0.025,0.056,
E,5,Sample X103,0.027,0.058,
F,5,Sample X127,0.023,0.057,
G,5,Sample X151,0.027,0.056,
H,5,Sample X175,0.027,0.056,
I,5,Sample X199,0.024,0.056,
J,5,Sample X223,0.027,0.059,
K,5,Sample X247,0.036,0.065,
L,5,Sample X271,0.032,0.059,
M,5,Sample X295,0.025,0.057,
N,5,Sample X319,0.027,0.057,
O,5,Sample X343,0.024,0.055,
P,5,Sample X367,0.029,0.058,
A,6,Sample X8,0.029,0.068,
B,6,Sample X32,0.018,0.057,
C,6,Sample X56,0.019,0.056,
D,6,Sample X80,0.019,0.057,
E,6,Sample X104,0.019,0.057,
F,6,Sample X128,0.021,0.062,
G,6,Sample X152,0.017,0.053,
H,6,Sample X176,0.018,0.053,
I,6,Sample X200,0.017,0.054,
J,6,Sample X224,0.017,0.052,
K,6,Sample X248,0.014,0.050,
L,6,Sample X272,0.014,0.051,
M,6,Sample X296,0.017,0.055,
N,6,Sample X320,0.013,0.051,
O,6,Sample X344,0.016,0.052,
P,6,Sample X368,0.014,0.053,
A,7,Sample X9,0.027,0.060,
B,7,Sample X33,0.032,0.062,
C,7,Sample X57,0.060,0.090,
D,7,Sample X81,0.030,0.063,
E,7,Sample X105,0.045,0.077,
F,7,Sample X129,0.048,0.078,
G,7,Sample X153,0.051,0.082,
H,7,Sample X177,0.027,0.056,
I,7,Sample X201,0.024,0.056,
J,7,Sample X225,0.022,0.051,
K,7,Sample X249,0.034,0.063,
L,7,Sample X273,0.035,0.061,
M,7,Sample X297,0.024,0.057,
N,7,Sample X321,0.029,0.059,
O,7,Sample X345,0.025,0.056,
P,7,Sample X369,0.024,0.056,
A,8,Sample X10,0.021,0.056,
B,8,Sample X34,0.047,0.082,
C,8,Sample X58,0.030,0.065,
D,8,Sample X82,0.024,0.060,
E,8,Sample X106,0.018,0.056,
F,8,Sample X130,0.015,0.053,
G,8,Sample X154,0.020,0.054,
H,8,Sample X178,0.016,0.053,
I,8,Sample X202,0.018,0.054,
J,8,Sample X226,0.017,0.052,
K,8,Sample X250,0.020,0.055,
L,8,Sample X274,0.015,0.051,
M,8,Sample X298,0.016,0.055,
N,8,Sample X322,0.015,0.051,
O,8,Sample X346,0.015,0.052,
P,8,Sample X370,0.026,0.060,
A,9,Sample X11,0.031,0.062,
B,9,Sample X35,0.028,0.060,
C,9,Sample X59,0.026,0.060,
D,9,Sample X83,0.027,0.059,
E,9,Sample X107,0.028,0.061,
F,9,Sample X131,0.027,0.059,
G,9,Sample X155,0.026,0.057,
H,9,Sample X179,0.025,0.055,
I,9,Sample X203,0.022,0.055,
J,9,Sample X227,0.023,0.052,
K,9,Sample X251,0.074,0.097,
L,9,Sample X275,0.034,0.061,
M,9,Sample X299,0.025,0.055,
N,9,Sample X323,0.027,0.058,
O,9,Sample X347,0.024,0.056,
P,9,Sample X371,0.027,0.059,
A,10,Sample X12,0.024,0.057,
B,10,Sample X36,0.021,0.056,
C,10,Sample X60,0.020,0.054,
D,10,Sample X84,0.021,0.056,
E,10,Sample X108,0.021,0.057,
F,10,Sample X132,0.021,0.057,
G,10,Sample X156,0.017,0.051,
H,10,Sample X180,0.018,0.053,
I,10,Sample X204,0.028,0.064,
J,10,Sample X228,0.019,0.053,
K,10,Sample X252,0.017,0.052,
L,10,Sample X276,0.019,0.052,
