User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,Test run no.: 28
Test name: PathLength,Date: 19/12/2019,Time: 17:19:05

ID1: 20191219_clariostar_5uMPathlength,
Absorbance

Well,Content,Raw Data (975 2),
A01,Sample X1,0.133,
A02,Sample X2,0.115,
A03,Sample X3,0.115,
A04,Sample X4,0.073,
A05,Sample X5,0.082,
A06,Sample X6,0.074,
A07,Sample X7,0.083,
A08,Sample X8,0.074,
A09,Sample X9,0.09,
A10,Sample X10,0.1,
A11,Sample X11,0.092,
A12,Sample X12,0.096,
A13,Sample X13,0.089,
A14,Sample X14,0.097,
A15,Sample X15,0.099,
A16,Sample X16,0.09,
A17,Sample X17,0.111,
A18,Sample X18,0.114,
A19,Sample X19,0.113,
A20,Sample X20,0.108,
A21,Sample X21,0.11,
A22,Sample X22,0.112,
A23,Sample X23,0.118,
A24,Sample X24,0.108,
B01,Sample X25,0.085,
B02,Sample X26,0.072,
B03,Sample X27,0.083,
B04,Sample X28,0.075,
B05,Sample X29,0.071,
B06,Sample X30,0.07,
B07,Sample X31,0.075,
B08,Sample X32,0.076,
B09,Sample X33,0.095,
B10,Sample X34,0.1,
B11,Sample X35,0.092,
B12,Sample X36,0.086,
B13,Sample X37,0.102,
B14,Sample X38,0.094,
B15,Sample X39,0.098,
B16,Sample X40,0.089,
B17,Sample X41,0.116,
B18,Sample X42,0.109,
B19,Sample X43,0.11,
B20,Sample X44,0.108,
B21,Sample X45,0.108,
B22,Sample X46,0.121,
B23,Sample X47,0.11,
B24,Sample X48,0.109,
C01,Sample X49,0.075,
C02,Sample X50,0.072,
C03,Sample X51,0.083,
C04,Sample X52,0.069,
C05,Sample X53,0.093,
C06,Sample X54,0.079,
C07,Sample X55,0.077,
C08,Sample X56,0.099,
C09,Sample X57,0.097,
C10,Sample X58,0.089,
C11,Sample X59,0.088,
C12,Sample X60,0.092,
C13,Sample X61,0.091,
C14,Sample X62,0.092,
C15,Sample X63,0.088,
C16,Sample X64,0.087,
C17,Sample X65,0.155,
C18,Sample X66,0.109,
C19,Sample X67,0.126,
C20,Sample X68,0.112,
C21,Sample X69,0.167,
C22,Sample X70,0.115,
C23,Sample X71,0.109,
C24,Sample X72,0.11,
D01,Sample X73,0.078,
D02,Sample X74,0.073,
D03,Sample X75,0.076,
D04,Sample X76,0.071,
D05,Sample X77,0.077,
D06,Sample X78,0.077,
D07,Sample X79,0.073,
D08,Sample X80,0.074,
D09,Sample X81,0.088,
D10,Sample X82,0.091,
D11,Sample X83,0.09,
D12,Sample X84,0.092,
D13,Sample X85,0.09,
D14,Sample X86,0.091,
D15,Sample X87,0.094,
D16,Sample X88,0.092,
D17,Sample X89,0.109,
D18,Sample X90,0.107,
D19,Sample X91,0.108,
D20,Sample X92,0.109,
D21,Sample X93,0.108,
D22,Sample X94,0.111,
D23,Sample X95,0.106,
D24,Sample X96,0.112,
E01,Sample X97,0.1,
E02,Sample X98,0.074,
E03,Sample X99,0.072,
E04,Sample X100,0.072,
E05,Sample X101,0.076,
E06,Sample X102,0.077,
E07,Sample X103,0.074,
E08,Sample X104,0.075,
E09,Sample X105,0.133,
E10,Sample X106,0.093,
E11,Sample X107,0.1,
E12,Sample X108,0.093,
E13,Sample X109,0.09,
E14,Sample X110,0.094,
E15,Sample X111,0.092,
E16,Sample X112,0.088,
E17,Sample X113,0.108,
E18,Sample X114,0.111,
E19,Sample X115,0.106,
E20,Sample X116,0.114,
E21,Sample X117,0.111,
E22,Sample X118,0.112,
E23,Sample X119,0.109,
E24,Sample X120,0.118,
F01,Sample X121,0.12,
F02,Sample X122,0.073,
F03,Sample X123,0.074,
F04,Sample X124,0.072,
F05,Sample X125,0.076,
F06,Sample X126,0.073,
F07,Sample X127,0.071,
