experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,well_volume,concentrations,controls_ok,centrifuge_minutes,plate_type,centrifuge_rpm,dispense_bulk,dispense_ligands,k,percent_dmso,protein_days_thawed
20,Arachadionic acid,12.000992738188042,0.194165783802971,-13.688952422934092,7.5,0.10799999999999998,23.453937500000027,0.23860876814247003,0.006519202405202642,0.011551461689362509,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,6.584815178445022,0.12213962176372717,-4.090403004126113,7.5,0.113,24.64156250000002,0.15672989364357778,0.006341473465550868,0.011282812498329345,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,26.20378814431462,0.3099999190352273,-47.27602655593812,7.5,0.10399999999999998,18.109812500000018,0.47338517855955226,0.006895909760761919,0.00897575604838808,20,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,9.223893518962841,0.15412412599115155,-8.532090621885741,7.5,0.10200000000000001,18.819000000000017,0.224069573884608,0.005976143046671971,0.010912348789755794,20,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,16.426770768424113,0.23037343791198703,-23.466037078318127,7.5,0.1,17.101625000000034,0.31869251531806175,0.007250615737399725,0.016537802420228537,20,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,7.087321715614312,0.12843772892207345,-4.852778515240204,7.5,0.10499999999999998,16.894812500000018,0.19656107906560208,0.002866057521105555,0.008542993951855631,20,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,7.087321715614312,0.12843772892207345,-4.852778515240204,15.2,0.10499999999999998,16.894812500000018,0.19656107906560208,0.002866057521105555,0.008542993951855631,20,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,26.66197370487025,0.40499999897387945,-46.41358705017421,15.2,0.222,28.613875000000014,0.15293467841414535,0.011551128578133459,0.003998840728594215,20,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,27.47617360024841,0.39499999995451723,-43.35008092572494,15.2,0.226,32.598500000000044,0.13964831323348156,0.009133924207511874,0.005089868951819347,20,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
20,Arachadionic acid,6.134125627791759,0.15560231212961884,-3.8989182407964806,15.2,0.27499999999999997,38.66556250000002,0.3404638772802287,0.026720444286297763,0.004556754030969917,20,"[0.0, 1.46, 11.66, 39.36, 93.29, 182.22, 314.87, 500.0]",True,2,Thermo Polystyrene (262160),3700,Manual,Echo,3,5,0
