Run ID,1576852067
Run Date/Time,2019-12-20 14:28:14
Application Name,Labcyte Echo Plate Reformat
Application Version,1.7.2
Protocol Name,Protocol 1.epr
Order ID,
Reference ID,
User Name,Lab

[EXCEPTIONS]
Date Time Point,Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Transfer Volume,Actual Volume,Sample ID,Sample Name,Survey Fluid Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
2019-12-20 14:28:51.094,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,A1,1000,0,,,6.632,6.632,93.4,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.68797 ft: 0.344812
2019-12-20 14:28:52.203,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,B1,997.5,0,,,6.632,6.632,93.4,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.68797 ft: 0.344812
2019-12-20 14:28:52.314,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,B1,2.5,0,,,8.559,8.559,87.11,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.73419 ft: 0.453003
2019-12-20 14:28:52.442,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,C1,22.5,0,,,8.559,8.559,87.11,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.73419 ft: 0.453003
2019-12-20 14:28:52.554,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,C1,977.5,0,,,6.632,6.632,93.4,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.68797 ft: 0.344812
2019-12-20 14:28:52.683,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,D1,922.5,0,,,6.632,6.632,93.4,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.68797 ft: 0.344812
2019-12-20 14:28:52.794,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,D1,77.5,0,,,8.559,8.559,87.11,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.73419 ft: 0.453003
2019-12-20 14:28:52.923,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,E1,187.5,0,,,8.559,8.559,87.11,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.73419 ft: 0.453003
2019-12-20 14:28:53.034,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,E1,812.5,0,,,6.632,6.632,93.4,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.68797 ft: 0.344812
2019-12-20 14:28:53.163,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,E2,812.5,0,,,6.632,6.632,93.4,Percent,DMSO,MM0202006: Problem calc. eo fc: 1.68797 ft: 0.344812
