2019-12-21 17:39:10.1,,Debug,Protocol Execution,Instrument,LockInstrument,192.168.0.25,,"End - RunID=1576949918"
2019-12-21 17:39:10.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:38.434	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:10.2,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:38.472	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:10.3,,Debug,Protocol Execution,Run,Preparation,192.168.0.25,,"Start - Check fluidics"
2019-12-21 17:39:10.3,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:38.591	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:10.4,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:38.630	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:10.4,,Debug,Protocol Execution,Run,Preparation,192.168.0.25,,"End - Check fluidics"
2019-12-21 17:39:10.4,,Debug,OnProtocolStart,Event,,192.168.0.25,,"Start"
2019-12-21 17:39:10.4,,Debug,OnProtocolStart,Event,,192.168.0.25,,
2019-12-21 17:39:10.4,,Debug,OnProtocolStart,Event,,192.168.0.25,,"End"
2019-12-21 17:39:10.4,,Debug,OnSessionStart,Event,,192.168.0.25,,
2019-12-21 17:39:10.4,,Debug,Protocol Execution,BeginSession,,192.168.0.25,,"Start"
2019-12-21 17:39:10.4,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:38.754	SOAPFluidTransferProxy.cpp(179)	INFO	BeginSession() START"
2019-12-21 17:39:10.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:38.755	SOAPFluidTransferProxy.cpp(916)	INFO	BeginSession() END"
2019-12-21 17:39:10.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:38.868	SOAPFluidTransferProxy.cpp(179)	INFO	EndSession() START"
2019-12-21 17:39:10.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:38.869	SOAPFluidTransferProxy.cpp(916)	INFO	EndSession() END"
2019-12-21 17:39:10.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:38.911	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:10.7,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:38.948	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:10.7,,Debug,Protocol Execution,BeginSession,,192.168.0.25,,"End - SessionID=1576949918"
2019-12-21 17:39:10.7,,Debug,Protocol Execution,Operation,,192.168.0.25,,"Start"
