Run ID,1576846886
Run Date/Time,2019-12-20 13:01:52
Application Name,Labcyte Echo Plate Reformat
Application Version,1.7.2
Protocol Name,Protocol 1.epr
Order ID,
Reference ID,
User Name,Lab

[DETAILS]
Date Time Point,Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Transfer Volume,Actual Volume,Sample ID,Sample Name,Survey Fluid Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
2019-12-20 13:02:32.256,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,A1,1000,1000,,,62.794,61.794,99.701,Percent,DMSO,
2019-12-20 13:02:35.383,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,B1,997.5,997.5,,,62.794,60.797,99.701,Percent,DMSO,
2019-12-20 13:02:37.578,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,B1,2.5,2.5,,,61.971,61.968,94.385,Percent,DMSO,
2019-12-20 13:02:37.783,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,C1,22.5,22.5,,,61.971,61.946,94.385,Percent,DMSO,
2019-12-20 13:02:38.028,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,C1,977.5,977.5,,,62.794,59.819,99.701,Percent,DMSO,
2019-12-20 13:02:40.183,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,D1,922.5,922.5,,,62.794,58.897,99.701,Percent,DMSO,
2019-12-20 13:02:42.228,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,D1,77.5,77.5,,,61.971,61.868,94.385,Percent,DMSO,
2019-12-20 13:02:42.582,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,E1,187.5,187.5,,,61.971,61.681,94.385,Percent,DMSO,
2019-12-20 13:02:43.156,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,E1,812.5,812.5,,,62.794,58.084,99.701,Percent,DMSO,
2019-12-20 13:02:44.981,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,E2,812.5,812.5,,,62.794,57.272,99.701,Percent,DMSO,
2019-12-20 13:02:46.806,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,E2,187.5,187.5,,,61.971,61.493,94.385,Percent,DMSO,
2019-12-20 13:02:47.381,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,D2,77.5,77.5,,,61.971,61.416,94.385,Percent,DMSO,
2019-12-20 13:02:47.736,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,D2,922.5,922.5,,,62.794,56.349,99.701,Percent,DMSO,
2019-12-20 13:02:49.780,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,C2,977.5,977.5,,,62.794,55.372,99.701,Percent,DMSO,
2019-12-20 13:02:51.936,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,C2,22.5,22.5,,,61.971,61.393,94.385,Percent,DMSO,
2019-12-20 13:02:52.181,Source[1],,384PP_DMSO2,B1,Destination[1],,384PP_Dest,B2,2.5,2.5,,,61.971,61.391,94.385,Percent,DMSO,
2019-12-20 13:02:52.386,Source[1],,384PP_DMSO2,A1,Destination[1],,384PP_Dest,B2,997.5,997.5,,,62.794,54.374,99.701,Percent,DMSO,
