,SrcWell,Destination Well,Volume
0,C6,A1,0.0
1,D15,A1,1000.0
2,C6,A2,0.0
3,D15,A2,1000.0
4,C6,B1,2.5
5,D15,B1,997.5
6,C6,B2,2.5
7,D15,B2,997.5
8,C6,C1,22.5
9,D15,C1,977.5
10,C6,C2,22.5
11,D15,C2,977.5
12,C6,D1,77.5
13,D15,D1,922.5
14,C6,D2,77.5
15,D15,D2,922.5
16,C6,E1,187.5
17,D15,E1,812.5
18,C6,E2,187.5
19,D15,E2,812.5
20,C6,F1,365.0
21,D15,F1,635.0
22,C6,F2,365.0
23,D15,F2,635.0
24,C6,G1,630.0
25,D15,G1,370.0
26,C6,G2,630.0
27,D15,G2,370.0
28,C6,H1,1000.0
29,D15,H1,0.0
30,C6,H2,1000.0
31,D15,H2,0.0
32,C6,I1,0.0
33,D15,I1,1000.0
34,C6,I2,0.0
35,D15,I2,1000.0
36,C6,J1,2.5
37,D15,J1,997.5
38,C6,J2,2.5
39,D15,J2,997.5
40,C6,K1,22.5
41,D15,K1,977.5
42,C6,K2,22.5
43,D15,K2,977.5
44,C6,L1,77.5
45,D15,L1,922.5
46,C6,L2,77.5
47,D15,L2,922.5
48,C6,M1,187.5
49,D15,M1,812.5
50,C6,M2,187.5
51,D15,M2,812.5
52,C6,N1,365.0
53,D15,N1,635.0
54,C6,N2,365.0
55,D15,N2,635.0
56,C6,O1,630.0
57,D15,O1,370.0
58,C6,O2,630.0
59,D15,O2,370.0
60,C6,P1,1000.0
61,D15,P1,0.0
62,C6,P2,1000.0
63,D15,P2,0.0
64,C6,A3,0.0
65,D15,A3,1000.0
66,C6,A4,0.0
67,D15,A4,1000.0
68,C6,B3,2.5
69,D15,B3,997.5
70,C6,B4,2.5
71,D15,B4,997.5
72,C6,C3,22.5
73,D15,C3,977.5
74,C6,C4,22.5
75,D15,C4,977.5
76,C6,D3,77.5
77,D15,D3,922.5
78,C6,D4,77.5
79,D15,D4,922.5
80,C6,E3,187.5
81,D15,E3,812.5
82,C6,E4,187.5
83,D15,E4,812.5
84,C6,F3,365.0
85,D15,F3,635.0
86,C6,F4,365.0
87,D15,F4,635.0
88,C6,G3,630.0
89,D15,G3,370.0
90,C6,G4,630.0
91,D15,G4,370.0
92,C6,H3,1000.0
93,D15,H3,0.0
94,C6,H4,1000.0
95,D15,H4,0.0
96,C6,I3,0.0
97,D15,I3,1000.0
98,C6,I4,0.0
99,D15,I4,1000.0
100,C6,J3,2.5
101,D15,J3,997.5
102,C6,J4,2.5
103,D15,J4,997.5
104,C6,K3,22.5
105,D15,K3,977.5
106,C6,K4,22.5
107,D15,K4,977.5
108,C6,L3,77.5
109,D15,L3,922.5
110,C6,L4,77.5
111,D15,L4,922.5
112,C6,M3,187.5
113,D15,M3,812.5
114,C6,M4,187.5
115,D15,M4,812.5
116,C6,N3,365.0
117,D15,N3,635.0
118,C6,N4,365.0
119,D15,N4,635.0
120,C6,O3,630.0
121,D15,O3,370.0
122,C6,O4,630.0
123,D15,O4,370.0
124,C6,P3,1000.0
125,D15,P3,0.0
126,C6,P4,1000.0
127,D15,P4,0.0
128,C6,A5,0.0
129,D15,A5,1000.0
130,C6,A6,0.0
131,D15,A6,1000.0
132,C6,B5,2.5
133,D15,B5,997.5
134,C6,B6,2.5
135,D15,B6,997.5
136,C6,C5,22.5
137,D15,C5,977.5
138,C6,C6,22.5
139,D15,C6,977.5
140,C6,D5,77.5
141,D15,D5,922.5
142,C6,D6,77.5
143,D15,D6,922.5
144,C6,E5,187.5
145,D15,E5,812.5
146,C6,E6,187.5
147,D15,E6,812.5
148,C6,F5,365.0
149,D15,F5,635.0
150,C6,F6,365.0
151,D15,F6,635.0
152,C6,G5,630.0
153,D15,G5,370.0
154,C6,G6,630.0
155,D15,G6,370.0
156,C6,H5,1000.0
157,D15,H5,0.0
158,C6,H6,1000.0
159,D15,H6,0.0
160,C6,I5,0.0
161,D15,I5,1000.0
162,C6,I6,0.0
163,D15,I6,1000.0
164,C6,J5,2.5
165,D15,J5,997.5
166,C6,J6,2.5
