experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,well_volume,concentrations,controls_ok,centrifuge_minutes,plate_type,centrifuge_rpm,dispense_bulk,dispense_ligands,k,percent_dmso,protein_days_thawed
21,Arachadionic acid,48.40811288926856,0.09994479118534956,-156.9800338575382,4.54,0.07,4.121249999999996,0.07322187140797766,0.0019272482233188668,-0.00012832660955885966,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,0.9739889624579476,0.0034095610632907717,0.2636192557759639,4.54,0.069,4.960187499999998,0.08187754532799177,0.0025035688811888388,0.001226008066906824,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,0.903759435589892,0.010550794835338809,0.5022427110979929,4.54,0.08,5.100874999999993,0.13274990429785088,0.0037008686239082505,-0.002231098790580553,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,1.407724766184989e-12,0.0022857142788767697,0.2857142857140147,4.54,0.069,5.354499999999996,0.09825204845163024,0.00203100960115899,-0.001234576609375522,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,2.1056275595665546e-14,0.005000000184857142,0.5775577557755682,4.54,0.08099999999999999,5.415000000000001,0.20445813993778753,0.005391792704790176,-0.0017743447589808822,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,0.5488121730170081,0.0015361150912774387,0.2923357896662211,4.54,0.071,2.6249374999999984,0.44952857466756385,0.005012484413940858,-0.0041137600814161925,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,1.0327022114654185,0.010712026118024123,0.613372339671378,4.54,0.08400000000000002,5.504,0.30303777019710176,0.006866065623255954,-0.0035672883063318198,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,8.49445283695934e-07,0.0017143440569965596,0.14285712084194258,4.54,0.07300000000000001,5.996562499999998,0.09689168980144747,0.0020658792662827945,0.0005105846767005841,20,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,2.245060826697523e-18,0.011142859190231443,0.9572057898046504,4.54,0.127,7.963749999999992,0.12074174077410635,0.00555331303946444,-0.002196572580824617,30,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,218.6166344727856,0.09572705425551244,-533.9845212342431,4.54,0.11,7.0453125000000005,0.04550792630535958,0.002329929490042867,0.0001907762081068263,30,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,0.33483335918804236,0.00957840092327595,0.7533043932434744,4.54,0.126,7.320437500000001,0.08787708357544304,0.004598136268408886,-0.003684425402225862,30,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,183.2966569881686,0.09827635719840164,-682.4723684035303,4.54,0.112,8.154000000000003,0.06116101950325377,0.002825268634509448,-0.0013953125007773138,30,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,2.8362283568308597e-12,0.07214285711358692,0.990676896183199,4.54,0.115,6.815437499999994,0.38043655938210375,0.02374718028374256,0.012806502014651541,30,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,4.5890586486709495,0.007174807285650501,-1.695231507092935,4.54,0.11800000000000001,8.71587499999999,0.3135478317861994,0.010148011768673849,-0.0016339717706275838,30,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,7.17555490937008e-17,0.009285713969798923,0.7333796215934678,4.54,0.11800000000000002,7.872375000000001,0.08879632747504404,0.0038149143409218845,0.0001652721810407656,30,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
21,Arachadionic acid,8.041099478629354e-07,0.0025716170785058555,0.1330048298161941,4.54,0.11299999999999999,8.274375000000004,0.08335093657059622,0.0023904572186687865,-0.00018069556223647846,30,"[0.0, 1.4577259475218656, 11.661807580174925, 39.35860058309037, 93.2944606413994, 182.21574344023315, 314.868804664723, 500.0]",True,2,Thermo Polystyrene (262160),3700,Clariostar Injector,Echo,3,5,0
