ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,experiment_number,protein_days_thawed,file,plate_type,hours_before_reading
,1.6668818944088064,0.005129777471563198,-0.6269347572107458,1,3.8,0.093,7.388562500000001,0.6097585562985508,0.004673252156077786,0.0017737399203585245,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,101.32402798609492,0.0675668895587675,-2.684988149438074,2,3.8,0.08399999999999999,8.182687499999998,0.5759100332032961,0.005962681563572842,-0.0007948588710336576,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,118.11788844046009,0.06839226837744482,-2.632737221476999,3,3.8,0.083,5.841312500000003,0.5831736971408796,0.004174754056057847,-0.000718800404224526,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,106.83690383988912,0.07188422958090912,-2.6775933016648974,4,3.8,0.089,7.211562500000003,0.3826464066513928,0.00573055719056059,-0.0013227318563526316,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,109.08748431442473,0.07121563082838275,-2.7041381027514646,5,3.8,0.07900000000000001,8.0093125,0.5238368016859837,0.006490377492873583,0.0005083165361645625,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,134.63584988890727,0.06526964508052543,-2.552554737407072,6,3.8,0.07600000000000001,8.991874999999999,0.4858159099435046,0.0068647651088729915,-0.0007532258048660568,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,347.8191098911159,0.0677700637480556,-2.4790807198823432,7,3.8,0.077,8.015187499999985,0.4457414149376845,0.0204864938086396,0.020105493948711983,7,0,20190622_gal.CSV,Corning 3660,0
Palmitic Acid,36.4399593530634,0.03446034732454004,-2.6044186223730232,8,3.8,0.08600000000000001,7.984374999999998,0.4427683577020707,0.00999910710299389,0.007054939515499672,7,0,20190622_gal.CSV,Corning 3660,0
Palmitic Acid,52.76069524435238,0.028685961520916216,-2.6897706074888443,9,3.8,0.09599999999999999,8.231687500000008,0.20591321254879055,0.0064903774928735825,0.0004795866955706154,7,0,20190622_gal.CSV,Corning 3660,0
Palmitic Acid,41.871709218190674,0.027247060959567585,-2.4058769655330448,10,3.8,0.08600000000000001,8.294687499999998,0.40888721157228897,0.006964194138592061,0.0004632056452016505,7,0,20190622_gal.CSV,Corning 3660,0
