ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,experiment_number,protein_days_thawed,plate_type,centrifuge_rpm,centrifuge_minutes,file,hours_before_reading
,103.618308183712,0.010392636146934817,-1.663799570801665,1,7.09,0.13,7.696312499999999,0.4678427404409754,0.01620350491185692,-0.007674495963921639,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,113.75674719229988,0.1574474966465618,-2.6623279463380465,2,7.09,0.174,15.576875000000005,0.3624244730962975,0.0129276834738479,-0.006127217742907499,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,92.04275246180818,0.15739493994266576,-2.667071862879848,3,7.09,0.16,15.354687500000026,0.22949718126575214,0.009486832980505141,-0.009910332660855193,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,105.59828455101857,0.1483069217240467,-2.6746909134049246,4,7.09,0.13999999999999996,12.497312500000007,0.4059205568861901,0.013079427685163769,-0.013523991937980956,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,98.88929169906424,0.16265033156060382,-2.838999575898437,5,7.09,0.16299999999999998,16.82275,0.30374568289972925,0.00808437646681195,-0.015028427417172677,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,19.26029778644684,0.0423420010405886,-2.6410433770678052,6,7.09,0.16999999999999998,14.293937500000006,0.2830340555474566,0.007595816517756902,-0.0018939012127768932,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,0.29747373994850584,0.03566028241615419,-1.278010216382118,7,7.09,0.15799999999999997,13.6055,0.315004313702826,0.007535629654230249,-0.0010489919415300009,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,67.99063835641225,0.03543529198822074,-2.469308851839156,8,7.09,0.17099999999999999,15.710375000000008,0.2402759377123525,0.011338934190276814,-0.007202923386441306,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,31.90603065698017,0.03781376144450025,-2.8314132060038855,9,7.09,0.164,15.447875000000018,0.21889348638923084,0.004367084676466508,-0.0054971774196982005,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,2.9410746001212848e-08,0.0031428481295311173,-0.04293481203788918,10,7.09,0.157,15.657500000000013,0.16775738908044854,0.009227288721117225,-0.004699092744658738,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,5.590023873656611e-07,0.003999980753531792,-0.6799953673050521,11,7.09,0.15899999999999997,14.288875000000012,0.19977527333618042,0.009411239481143202,-0.0019773185487845886,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,1.8899603239428495,0.0035032044141534617,0.16168211333661664,12,7.09,0.166,14.5124375,0.21593022031838366,0.014106103035819032,-0.002679485888040507,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,4.404994842195989e-18,0.006428571282295044,-0.014533313688353866,13,7.09,0.162,14.333187500000005,0.22045046381137118,0.007298483208369889,-0.0012799899154141553,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,339.41493210282016,0.00717039659438895,-1.6913860531601772,14,7.09,0.148,15.91500000000002,0.18535971754074912,0.0032265638511757826,7.686491656862804e-05,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,1714.3086476906346,0.01724326483083296,-0.3796144753997108,15,7.09,0.14,15.335000000000012,0.2779705494641725,0.003955105199973464,0.00010453629093245658,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,12.421091591323732,0.004156114825355936,-0.6650389205568643,16,7.09,0.142,14.831125000000027,0.23888308639213132,0.0026186146828319065,0.00048306451791490265,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,4.8707869514086864e-08,0.0012857126448321478,-0.08737838445799362,17,7.09,0.147,16.177062500000012,0.29318525293881087,0.005424810727442146,0.0021744959678796235,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,771.518356243251,0.009560198409170656,-2.2089975769143857,18,7.09,0.0049999999999999975,1.809500000000002,1.838984179819957,0.004373213921133978,-0.0008841733873131782,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,0.00018497163464126568,0.0005712653130281432,0.14285420722742148,19,7.09,0.0009999999999999974,-2.622874999999995,-1.9316963892120909,0.009101608962940872,-0.002149798386558443,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
,8.340406043430768,0.003313337224875082,-0.47460112707508006,1,14.09,0.255,20.039249999999996,0.23178515875079747,0.00436708467646651,0.0028422379028034917,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,75.78175998889957,0.32258830043993997,-2.682151063364081,2,14.09,0.312,27.113500000000002,0.14372681336599008,0.006791538853603058,-0.03282555443641352,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,63.01028345341939,0.318719834193957,-2.6790819176243015,3,14.09,0.32399999999999995,26.93581250000003,0.14866809884499085,0.01002051467169797,-0.021120312498652514,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
