ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc,auc_cv,std_405,dd_soret,experiment_number,plate_type,file
,3.757595031162341,0.012293421709091427,-0.010906163588880302,1,4.01,0.09300000000000001,[ 6.716   6.6305  3.0625 11.067  18.2295  1.584  10.1    11.4595],0.5759581046103065,0.008799350625391139,0.002097580645398744,5,Corning 3660,20190619_boi.CSV
Arachadionic Acid,15.544550855051854,0.05488847363723976,-2.313871001265613,2,4.01,0.07999999999999999,[ 6.7835  6.987   6.6595 15.9885 12.9665  5.444  10.8475 19.1035],0.4435237762152332,0.012873006086935783,0.00946995967709341,5,Corning 3660,20190619_boi.CSV
Arachadionic Acid,15.226512765548065,0.054365764078494985,-2.295473090293758,3,4.01,0.083,[ 5.0321 10.1395 13.005   8.665   7.5595  0.419  10.7345 12.772 ],0.46180471361469483,0.005500113635189731,0.007625655240570611,5,Corning 3660,20190619_boi.CSV
Arachadionic Acid,17.273608413559735,0.05987782605123869,-2.3664697132613277,4,4.01,0.08199999999999999,[ 4.8345  8.9155 10.8545 11.805   8.5865 -0.2285 10.143  15.479 ],0.5034238850247225,0.005182387756347731,0.008791028225368286,5,Corning 3660,20190619_boi.CSV
Arachadionic Acid,16.74812166894798,0.05540718716711799,-2.3631628865382357,5,4.01,0.08099999999999999,[ 4.9215 13.1385  5.1385 11.953   3.995   7.108  10.3535  9.1585],0.39186639394807204,0.0051530157605591915,0.007571219757957367,5,Corning 3660,20190619_boi.CSV
Arachadionic Acid,14.93979099539266,0.054313410425872906,-2.2512375945430496,6,4.01,0.08100000000000002,[ 1.53   10.01    4.5775 11.5055  2.3585 10.332   9.298  16.198 ],0.5696145877989088,0.006436503043467894,0.007953528226299682,5,Corning 3660,20190619_boi.CSV
Arachadionic Acid,16.416074142960767,0.048393626413462947,-2.0909137507238786,7,4.01,0.075,[8.774  2.722  4.735  4.4705 5.9865 2.184  6.6755 8.53  ],0.4152506674858755,0.0049280538030458095,0.007348336693212712,5,Corning 3660,20190619_boi.CSV
Arachadionic Acid,13.67735381150713,0.05436496377404046,-2.328871761318174,8,4.01,0.078,[ 5.329   7.8655  3.9595 11.6475  6.9805 -0.989  15.953  15.0015],0.6531511097764786,0.003662064211031031,0.009161542337624055,5,Corning 3660,20190619_boi.CSV
Arachadionic Acid,12.466346356294952,0.056065822837075556,-2.3286184476350726,9,4.01,0.079,[ 3.677  10.657   8.102  12.8295  5.6885  2.731  10.0075 17.8835],0.5253261552229617,0.003925648263117099,0.009413054435179959,5,Corning 3660,20190619_boi.CSV
Arachadionic Acid,15.17897762609308,0.04793322745826806,-2.3064694701918933,10,4.01,0.071,[ 7.816   6.401   6.643  12.067   3.0475 -1.546  10.4135 16.494 ],0.6741303330686704,0.004898979485566357,0.00898578629047711,5,Corning 3660,20190619_boi.CSV
4-Phenylimidazole,5.704649156246656,0.014410109561010938,-2.259329403554534,11,4.01,0.07999999999999999,[ 7.5295  7.1235  0.6765 10.1035  4.041   7.523  13.588   7.707 ],0.4904969005580243,0.004749060057376766,-0.003612247983122053,5,Corning 3660,20190619_boi.CSV
4-Phenylimidazole,-0.2637322192871871,0.0038161607891183456,-1.1635828128165153,12,4.01,0.087,[ 9.4115  7.314   2.048  10.2765  9.529  12.983   8.7185  6.8825],0.35423486294009193,0.005878228596147946,-0.005206653222962819,5,Corning 3660,20190619_boi.CSV
4-Phenylimidazole,29.83644747588008,0.004096483199505059,-2.729150442913497,13,4.01,0.08399999999999999,[ 8.1785  7.258   5.829  13.133   7.186   4.067  10.0255 11.124 ],0.3297600804603354,0.005311712126450916,-0.003404737907157085,5,Corning 3660,20190619_boi.CSV
4-Phenylimidazole,17.778973952500507,0.009078082230460138,-2.380555203507262,14,4.01,0.087,[ 7.8655 12.6525 10.249   7.879   9.32    4.933   6.3545  3.0755],0.36443233861940344,0.005914570386523677,-0.002952973792175786,5,Corning 3660,20190619_boi.CSV
4-Phenylimidazole,10.550162133614643,0.0036531824297710634,-2.111196585778785,15,4.01,0.08499999999999999,[8.3675 8.677  9.9535 7.058  8.4245 7.1755 8.2015 7.4075],0.10919472591213791,0.003991061441342568,-0.002476058468938584,5,Corning 3660,20190619_boi.CSV
4-Phenylimidazole,11.604916831115597,0.006474268515298786,-2.408794851674641,16,4.01,0.08399999999999999,[ 6.4275  6.384   5.188   4.3935  5.4195 -0.7355  4.164   9.3215],0.5253553113438202,0.005682051943243242,-0.003922983874029912,5,Corning 3660,20190619_boi.CSV
4-Phenylimidazole,22.490716656402174,0.0021973203735853055,-1.0819784169566167,17,4.01,0.087,[10.498   7.2735  7.1585  8.887   7.829  -0.632   5.871   9.5115],0.45524018717910164,0.005950690236074656,-0.004392187498855963,5,Corning 3660,20190619_boi.CSV
4-Phenylimidazole,13.91841874469834,0.01022702983506136,-2.5654343314297283,18,4.01,0.084,[ 7.376   1.095  12.3875 10.306   9.64    7.138  13.3785  5.5835],0.4429506522211566,0.005928141120356121,-0.00447419355321014,5,Corning 3660,20190619_boi.CSV
4-Phenylimidazole,14.765975876894903,0.005952304337260729,-1.68307424150021,19,4.01,0.088,[ 6.016   2.299  11.206   6.8215  6.2375 11.7     8.8455  6.709 ],0.3814437278043101,0.006022280061808577,-0.005274395164738578,5,Corning 3660,20190619_boi.CSV
