ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc_cv,type_shift,experiment_number,plate_type,protein_days_thawed,file
,21.68432823620696,0.007937502418941325,-2.475254040131397,1,3.86,0.091,0.7596873693968451,,6,corning 3660,0,20190620_AM.CSV
Arachadionic Acid,21.373423872542485,0.07270194437439971,-2.316371329660886,2,3.86,0.08,1.1537297242121445,,6,corning 3660,0,20190620_AM.CSV
Arachadionic Acid,17.296292989065403,0.06783247148516613,-2.3662891967466213,3,3.86,0.078,0.7933739286703628,,6,corning 3660,0,20190620_AM.CSV
Arachadionic Acid,20.15380040671242,0.07106976684923488,-2.309673101225145,4,3.86,0.082,0.8658630639173637,,6,corning 3660,0,20190620_AM.CSV
Arachadionic Acid,19.361865750906976,0.0678395136171924,-2.3321270258984144,5,3.86,0.08399999999999999,0.5951794249281217,,6,corning 3660,0,20190620_AM.CSV
Arachadionic Acid,21.840248960101746,0.06724112686767056,-2.3399016786499653,6,3.86,0.078,0.4582679293344484,,6,corning 3660,0,20190620_AM.CSV
Arachadionic Acid,21.502559561290706,0.06296439585132958,-2.2958636741077973,7,3.86,0.069,0.4154885874060068,,6,corning 3660,0,20190620_AM.CSV
Palmitic Acid,650.173054393377,0.04843481938439039,-1.8759266903935288,8,3.86,0.101,0.4219665771942103,,6,corning 3660,0,20190620_AM.CSV
Palmitic Acid,147.587395788855,0.01842946749525167,-2.207132402617233,9,3.86,0.101,0.4980953808058342,,6,corning 3660,0,20190620_AM.CSV
Palmitic Acid,118.22392464297604,0.008711622721179344,-1.9028690135891848,10,3.86,0.09499999999999999,0.3090147237477461,,6,corning 3660,0,20190620_AM.CSV
Palmitic Acid,-6.4952739063702944,0.0027191286993199708,-0.6393160033635505,11,3.86,0.09600000000000002,0.4628407160958562,,6,corning 3660,0,20190620_AM.CSV
Palmitic Acid,2.944039364919372,0.003969232821856279,-0.5346786749701844,12,3.86,0.09899999999999999,0.23626933928569438,,6,corning 3660,0,20190620_AM.CSV
Palmitic Acid,-5.736796740628705,0.00588338183670167,-0.1903265891375443,13,3.86,0.097,0.31309034489506316,,6,corning 3660,0,20190620_AM.CSV
Lauric Acid,-6.258034791644786,0.003364818146344034,-0.7828258041941674,14,3.86,0.092,0.23598450873469576,,6,corning 3660,0,20190620_AM.CSV
Lauric Acid,-4.053026900913344,0.009575224055310368,-0.4343225913542792,15,3.86,0.096,0.35585342636669837,,6,corning 3660,0,20190620_AM.CSV
Lauric Acid,-6.207062324492896,0.0033265441377122395,-0.538978049840318,16,3.86,0.09100000000000001,0.8893088287059714,,6,corning 3660,0,20190620_AM.CSV
Lauric Acid,-4.930882515262385,0.006396787420118126,-0.3174407624288629,17,3.86,0.092,0.30375567721592106,,6,corning 3660,0,20190620_AM.CSV
Lauric Acid,-5.309802019881382,0.0039699706606677885,-0.8156160960989378,18,3.86,0.094,0.3212879746184721,,6,corning 3660,0,20190620_AM.CSV
Lauric Acid,-4.680320644171663,0.010519828698473375,-0.44535507199970614,19,3.86,0.092,0.5809643857330649,,6,corning 3660,0,20190620_AM.CSV
