ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc,auc_cv,std_405,type_shift,experiment_number,protein_days_thawed,file,plate_type,hours_before_reading
,2.8323379878713784,0.0022111688137780245,-0.929694873559257,1,3.8,0.093,[ 7.855   2.401   9.976  -1.8475 13.2365  8.261   9.1515 10.075 ],0.6097585562985508,0.004673252156077786,0.000977368948390992,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,31.470188231665478,0.06110593975493812,-2.3668890898998725,2,3.8,0.08399999999999999,[14.631   9.9865  9.5735  9.685   6.829  11.142  -2.4795  6.094 ],0.5759100332032961,0.005962681563572842,0.005115624999635731,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,28.25790888139162,0.06193664287458952,-2.394057035184931,3,3.8,0.083,[8.195  8.9535 6.1775 9.9125 0.383  7.5385 0.598  4.9725],0.5831736971408796,0.004174754056057847,0.004096118950300947,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,29.48231609067324,0.06597443922183611,-2.4398597177095507,4,3.8,0.089,[ 6.3325  7.6635  8.5885  5.8105 11.67    1.499   9.093   7.0355],0.3826464066513928,0.00573055719056059,0.004020010081638005,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,28.68824269697129,0.06380767229917483,-2.417262827024846,5,3.8,0.07900000000000001,[ 8.1185  4.764  10.8415 12.3025  4.1005 15.2485  2.187   6.512 ],0.5238368016859837,0.006490377492873583,0.007756703628438242,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,26.08527154956625,0.05472347818991664,-2.319717020339986,6,3.8,0.07600000000000001,[ 4.3625  5.8605 14.6725 12.5295 11.2475 11.901   1.144  10.2175],0.4858159099435046,0.0068647651088729915,0.0062963709673460305,7,0,20190622_gal.CSV,Corning 3660,0
Arachadionic Acid,13.680663238303898,0.05032870648326927,-1.93946470027378,7,3.8,0.077,[ 5.572   9.699  13.864   9.4585 11.6215  6.8565  2.442   4.608 ],0.4457414149376845,0.0204864938086396,0.0035127520149792163,7,0,20190622_gal.CSV,Corning 3660,0
Palmitic Acid,64.11922805399868,0.03411540707930679,-2.2885014174436287,8,3.8,0.08600000000000001,[ 5.229   7.922  14.121   6.063   2.4645 12.384   7.08    8.6115],0.4427683577020707,0.00999910710299389,0.0009279233869351483,7,0,20190622_gal.CSV,Corning 3660,0
Palmitic Acid,47.003453614998676,0.029367947663789102,-2.250342181027586,9,3.8,0.09599999999999999,[ 8.965   9.2815 10.4325  6.0535  6.7455 10.6105  7.235   6.53  ],0.20591321254879055,0.0064903774928735825,0.0009307963700047357,7,0,20190622_gal.CSV,Corning 3660,0
Palmitic Acid,52.347485517899266,0.028297028061949083,-1.9393519581173724,10,3.8,0.08600000000000001,[ 8.5265 12.6505  5.549  10.036   5.766  13.065   2.5265  8.238 ],0.40888721157228897,0.006964194138592061,0.0014123991876949862,7,0,20190622_gal.CSV,Corning 3660,0
Palmitic Acid,56.75784346615267,0.02927057654188461,-2.100337825183226,11,3.8,0.087,[ 8.586   7.4165  5.375   8.627   7.2105  8.366  11.081  10.8825],0.20919000526400397,0.0059985117201805035,0.0028558971775504765,7,0,20190622_gal.CSV,Corning 3660,0
Palmitic Acid,67.90493000241811,0.033486707946078505,-1.963385822953044,12,3.8,0.09000000000000002,[ 1.0685  7.9755  7.955   9.023   5.327  13.886  -0.8455 10.531 ],0.6619932579900933,0.00841660773199546,0.0013879536279773877,7,0,20190622_gal.CSV,Corning 3660,0
Palmitic Acid,53.61672313614763,0.03217472853226888,-2.3213426878662387,13,3.8,0.085,[ 2.511   4.2375  4.581   9.7635  4.706   9.8225 -0.4875 10.45  ],0.6475203987125683,0.0026152028055746912,0.0017529737904698028,7,0,20190622_gal.CSV,Corning 3660,0
Lauric Acid,-5.499288393245776,0.004518922124404802,-0.3288332065452606,14,3.8,0.09100000000000001,[ 8.3785  6.692   7.954   7.758  10.123  13.3725  5.1235  9.898 ],0.26965952973010565,0.0047207747548166585,-0.000506098791964471,7,0,20190622_gal.CSV,Corning 3660,0
Lauric Acid,70.74210939153285,0.009914379550161345,-1.949501259517592,15,3.8,0.08600000000000001,[13.031   7.8245  7.369   7.1535 -0.359  13.3535  5.1985  8.313 ],0.5258613728413156,0.002748376143938711,-0.00164208669311699,7,0,20190622_gal.CSV,Corning 3660,0
Lauric Acid,15.597174234807293,0.0077020201946519495,-0.7882941947127844,16,3.8,0.117,[10.3205  5.728  13.9555 15.9135  6.644   5.5005  5.6315  7.9515],0.4234149284149924,0.01214716310208155,0.0006370967725785027,7,0,20190622_gal.CSV,Corning 3660,0
Lauric Acid,39.09263339517875,0.007945727679362788,-1.5203810914094773,17,3.8,0.08600000000000001,[ 6.411  -2.981  13.423   6.3705 11.2935 10.6625  3.03    2.542 ],0.7992244402836932,0.005398412465054624,-0.002999143144274353,7,0,20190622_gal.CSV,Corning 3660,0
Lauric Acid,82.43097833685471,0.008282604861372167,-2.0817041038006376,18,3.8,0.081,[8.8475 4.955  6.5615 4.633  5.593  9.5445 8.052  5.9795],0.2535227930720289,0.003693623849670825,-0.0023299395158495402,7,0,20190622_gal.CSV,Corning 3660,0
Lauric Acid,8.10496512375439,0.004143942440812677,-0.8935891484642782,19,3.8,0.086,[ 5.32    5.5315  6.3835 11.9915  9.0365  5.9725 12.8465  8.9795],0.3341848774969909,0.004867897756879105,-0.0008488407266168692,7,0,20190622_gal.CSV,Corning 3660,0
,-8.485840409476772,0.0024772390551669942,-0.810997361718597,1,3.8,0.105,[10.4655 -9.463  10.738   5.6875  9.335   3.8365 -2.9645  8.2375],1.5050803717568224,0.0187445230095925,-0.008888760079819086,7,3,20190625_boi.CSV,Corning 3660,1
Arachadionic Acid,28.202485163027966,0.07811808868076599,-2.4795358423369307,2,3.8,0.11800000000000002,[11.2935 12.5985  8.018   3.99    0.2205 10.869   1.978   6.4545],0.617243503206215,0.017406382244945184,0.013094455646095054,7,3,20190625_boi.CSV,Corning 3660,1
Arachadionic Acid,26.168961606014406,0.08054280790547827,-2.4272458375321837,3,3.8,0.091,[7.943  4.7585 5.598  8.4665 4.557  3.2755 9.368  9.3465],0.33587741657189346,0.009553421227123668,0.009371975805583584,7,3,20190625_boi.CSV,Corning 3660,1
