ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc_cv,type_shift,experiment_number,protein_days_thawed,plate_type,centrifuge_rpm,centrifuge_minutes,file,hours_before_reading
,-4.804808029492228,0.00895929667314116,-0.8247440247134383,1,7.09,0.13,0.4678427404409754,-0.004406350806399483,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,26.924736551031746,0.13834092876156323,-2.361012651984742,2,7.09,0.174,0.3624244730962975,0.018848991933859242,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,32.197281793809076,0.14987825555983614,-2.4259418762035936,3,7.09,0.16,0.22949718126575214,0.01900055443412319,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,30.249952565208936,0.13749698340150038,-2.3977371190079286,4,7.09,0.13999999999999996,0.4059205568861901,0.019081653224592987,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,25.241024022984902,0.1451249615127951,-2.4800412602660638,5,7.09,0.16299999999999998,0.30374568289972925,0.01982802419410195,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,88.89834387922959,0.04833256071369124,-2.52056746171071,6,7.09,0.16999999999999998,0.2830340555474566,0.0017867439519816948,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Arachadionic Acid,1591.892806429083,0.16468225398968125,-1.7721915202853293,7,7.09,0.15799999999999997,0.315004313702826,0.0013663306459700956,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,26.497507108976077,0.03417424375572422,-2.251153996938198,8,7.09,0.17099999999999999,0.2402759377123525,4.102822845670683e-05,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,53.545882797359525,0.041434648739954026,-2.635511591564076,9,7.09,0.164,0.21889348638923084,0.004847983868947611,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,8.340776249931455,0.005169943807566042,-0.4947132623185526,10,7.09,0.157,0.16775738908044854,-0.002714818548844676,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,11.92193357292915,0.004737358294101155,-1.6438746727766396,11,7.09,0.15899999999999997,0.19977527333618042,-0.006055947584196596,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,-1.9768458868349779,0.0030181105580084377,0.16473420601606026,12,7.09,0.166,0.21593022031838366,-0.004719002018984057,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Palmitic Acid,8.291055396753107,0.006004399590992407,-0.4896801059991198,13,7.09,0.162,0.22045046381137118,-0.002594102821350981,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,0.045383462026480165,0.004722835824020755,-0.6183053794877813,14,7.09,0.148,0.18535971754074912,-0.0017174899206051917,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,3.692163598494952,0.006319215412564649,-0.5597044764815275,15,7.09,0.14,0.2779705494641725,-0.001353931450889526,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,-5.785149516200668,0.0020581788549239345,-0.21867644889820115,16,7.09,0.142,0.23888308639213132,-0.0012794354836994993,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,3.510633655957408,0.0024241973686209618,-0.18425744398310306,17,7.09,0.147,0.29318525293881087,-0.0015751008036247733,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,0.51756568268114,0.003352887504551359,-1.0159482698351634,18,7.09,0.0049999999999999975,1.838984179819957,-0.00042127015956082756,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
Lauric Acid,-3.5422564259698617,0.00047908110730546,0.2499740979176408,19,7.09,0.0009999999999999974,-1.9316963892120909,-0.00017197580911346123,8,0,Corning 3660,2,3700,20190626_plate1.CSV,0
,-7.593772929515923,0.00201379678265006,-0.6623071641286902,1,14.09,0.255,0.23178515875079747,0.001426512096340273,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,36.595465392203316,0.3194854546326348,-2.4265581346471636,2,14.09,0.312,0.14372681336599008,0.038201058468146004,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,42.488464609244396,0.3257242717402763,-2.353061563095983,3,14.09,0.32399999999999995,0.14866809884499085,0.0350151713695137,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,34.20167587091733,0.3098361622102158,-2.4284107728398796,4,14.09,0.308,0.10650716442054527,0.04227908265941496,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,33.69826224233809,0.32722629715494705,-2.4398734263664625,5,14.09,0.32699999999999996,0.08593498058562765,0.037920967741190234,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,53.37118332555046,0.10347627151928958,-2.68150297030187,6,14.09,0.34099999999999997,0.11590339353706526,0.006497177417170047,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,66.97340238037006,0.09736405719313432,-2.382348393920077,7,14.09,0.32999999999999996,0.10568648579944832,0.007874697580980852,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Palmitic Acid,83.54681056055976,0.1019778798470267,-2.4134150824859315,8,14.09,0.338,0.09323182401641061,0.007820060481380264,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Palmitic Acid,66.77876110231013,0.10136092388109806,-2.431920694259011,9,14.09,0.33999999999999997,0.09996294369011854,0.004170614915667072,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
